D	F
1.889000	15.435755
1.894000	15.482879
1.899000	15.527953
1.905000	15.573752
1.910000	15.619314
1.915000	15.664751
1.921000	15.712750
1.926000	15.756749
1.931000	15.806749
1.937000	15.850748
1.942000	15.896747
1.947000	15.938747
1.953000	15.988746
1.958000	16.031745
1.963000	16.068745
1.969000	16.127744
1.974000	16.173743
1.979000	16.218542
1.985000	16.266741
1.990000	16.313241
1.995000	16.358740
2.001000	16.401427
2.006000	16.448738
2.011000	16.493071
2.017000	16.539004
2.022000	16.589736
2.027000	16.634861
2.033000	16.680735
2.038000	16.725797
2.043000	16.770733
2.048000	16.815733
2.054000	16.865732
2.059000	16.912731
2.065000	16.961730
2.070000	17.008667
2.075000	17.054729
2.080000	17.100728
2.085000	17.142727
2.091000	17.192477
2.096000	17.235726
2.102000	17.290538
2.107000	17.341037
2.113000	17.387524
2.118000	17.433723
2.123000	17.477472
2.128000	17.526721
2.133000	17.568096
2.139000	17.612907
2.143000	17.648719
2.149000	17.712985
2.155000	17.763718
2.160000	17.809842
2.166000	17.857716
2.170000	17.893840
2.176000	17.945715
2.180000	17.981714
2.186000	18.034713
2.191000	18.069713
2.197000	18.134178
2.203000	18.194711
2.208000	18.237148
2.213000	18.279709
2.218000	18.319459
2.223000	18.352708
2.227000	18.380708
2.232000	18.436707
2.238000	18.484706
2.243000	18.540705
2.249000	18.593704
2.254000	18.642454
2.259000	18.687703
2.264000	18.719702
2.269000	18.772702
2.275000	18.821701
2.280000	18.870700
2.286000	18.917699
2.291000	18.969698
2.297000	19.021298
2.302000	19.066697
2.307000	19.099821
2.312000	19.148696
2.317000	19.194695
2.323000	19.241694
2.328000	19.286693
2.333000	19.337693
2.339000	19.387692
2.345000	19.431558
2.350000	19.478690
2.355000	19.517690
2.360000	19.568689
2.365000	19.617501
2.370000	19.661687
2.376000	19.711487
2.381000	19.750686
2.387000	19.809685
2.392000	19.850684
2.397000	19.896684
2.402000	19.942058
2.408000	19.982682
2.413000	20.030815
2.418000	20.076681
2.424000	20.123805
2.429000	20.166879
2.435000	20.215679
2.440000	20.258678
2.445000	20.298677
2.450000	20.346676
2.456000	20.393676
2.461000	20.439608
2.466000	20.483674
2.472000	20.528674
2.477000	20.572673
2.482000	20.618047
2.488000	20.664546
2.493000	20.705004
2.498000	20.751670
2.504000	20.795982
2.509000	20.838469
2.514000	20.886668
2.520000	20.928417
2.525000	20.971167
2.530000	21.013666
2.536000	21.058665
2.541000	21.100665
2.546000	21.146664
2.552000	21.189663
2.557000	21.232662
2.562000	21.273662
2.568000	21.316661
2.573000	21.357660
2.578000	21.398660
2.584000	21.438659
2.589000	21.479658
2.594000	21.517658
2.600000	21.558657
2.605000	21.599657
2.610000	21.636656
2.616000	21.675655
2.621000	21.713530
2.626000	21.751654
2.632000	21.788654
2.637000	21.830653
2.642000	21.870652
2.648000	21.913918
2.653000	21.953651
2.658000	21.996900
2.664000	22.036650
2.669000	22.080649
2.674000	22.123315
2.680000	22.173647
2.685000	22.216647
2.690000	22.257646
2.696000	22.298245
2.701000	22.345770
2.706000	22.387644
2.712000	22.432643
2.717000	22.475643
2.722000	22.516642
2.728000	22.561641
2.733000	22.605516
2.738000	22.648640
2.744000	22.690639
2.749000	22.734639
2.754000	22.775513
2.760000	22.819637
2.765000	22.861637
2.770000	22.906948
2.776000	22.950235
2.781000	22.993168
2.786000	23.036634
2.792000	23.078883
2.797000	23.121632
2.802000	23.163819
2.808000	23.205631
2.813000	23.248764
2.818000	23.290630
2.824000	23.334629
2.829000	23.375628
2.834000	23.420628
2.840000	23.462189
2.845000	23.501626
2.850000	23.543126
2.856000	23.579625
2.861000	23.624091
2.866000	23.660561
2.872000	23.704623
2.877000	23.744622
2.882000	23.785997
2.888000	23.822621
2.893000	23.865621
2.898000	23.907620
2.904000	23.948244
2.909000	23.983619
2.914000	24.029618
2.920000	24.067617
2.925000	24.112617
2.930000	24.146616
2.936000	24.187615
2.941000	24.227615
2.946000	24.271614
2.952000	24.311613
2.957000	24.353613
2.962000	24.394612
2.968000	24.436611
2.973000	24.474173
2.979000	24.516610
2.984000	24.554610
2.989000	24.594609
2.994000	24.633608
3.000000	24.670608
3.005000	24.716607
3.010000	24.753606
3.016000	24.790606
3.021000	24.829480
3.026000	24.867605
3.032000	24.904604
3.037000	24.939603
3.042000	24.980403
3.048000	25.021602
3.053000	25.057602
3.058000	25.096601
3.064000	25.138288
3.069000	25.177600
3.074000	25.216266
3.080000	25.255598
3.085000	25.260223
3.090000	25.309848
3.096000	25.350797
3.101000	25.393596
3.106000	25.427596
3.112000	25.434596
3.117000	25.412596
3.123000	25.410596
3.128000	25.417596
3.133000	25.436533
3.138000	25.450595
3.144000	25.467528
3.149000	25.486595
3.154000	25.508594
3.160000	25.525927
3.165000	25.542594
3.170000	25.558906
3.176000	25.577393
3.181000	25.607593
3.186000	25.633592
3.192000	25.664842
3.197000	25.695591
3.202000	25.726778
3.208000	25.748591
3.213000	25.784590
3.218000	25.816590
3.224000	25.851589
3.229000	25.883588
3.235000	25.918588
3.240000	25.951150
3.245000	25.986587
3.250000	26.018586
3.256000	26.052586
3.261000	26.084585
3.266000	26.117585
3.272000	26.153022
3.277000	26.187584
3.282000	26.218583
3.288000	26.256583
3.293000	26.291249
3.298000	26.327394
3.304000	26.361581
3.309000	26.389580
3.315000	26.428580
3.320000	26.463079
3.325000	26.498579
3.330000	26.531578
3.336000	26.568765
3.341000	26.604577
3.346000	26.638576
3.352000	26.670576
3.357000	26.701575
3.363000	26.741575
3.368000	26.773574
3.373000	26.805136
3.379000	26.838573
3.384000	26.871573
3.389000	26.904572
3.394000	26.938572
3.400000	26.969571
3.405000	27.005571
3.410000	27.037570
3.416000	27.070570
3.421000	27.102194
3.426000	27.135902
3.432000	27.168568
3.437000	27.202567
3.442000	27.235367
3.448000	27.273566
3.453000	27.307566
3.458000	27.337565
3.464000	27.375252
3.469000	27.410564
3.474000	27.443230
3.480000	27.479696
3.485000	27.512563
3.491000	27.546562
3.496000	27.580561
3.501000	27.615561
3.507000	27.650123
3.512000	27.682560
3.517000	27.715559
3.523000	27.749559
3.528000	27.782025
3.533000	27.816558
3.538000	27.845995
3.544000	27.878557
3.549000	27.910556
3.554000	27.941556
3.560000	27.976889
3.565000	28.005555
3.571000	28.037867
3.576000	28.069554
3.581000	28.100820
3.586000	28.134553
3.592000	28.163552
3.597000	28.194552
3.603000	28.225551
3.608000	28.255551
3.613000	28.287550
3.619000	28.317550
3.624000	28.350674
3.629000	28.376549
3.635000	28.406673
3.640000	28.435548
3.645000	28.461547
3.651000	28.488047
3.656000	28.515547
3.661000	28.543546
3.667000	28.569483
3.672000	28.595545
3.677000	28.620545
3.683000	28.648544
3.688000	28.674544
3.693000	28.696544
3.698000	28.724543
3.704000	28.747543
3.709000	28.774342
3.715000	28.784542
3.720000	28.796542
3.725000	28.808542
3.731000	28.823542
3.736000	28.840729
3.741000	28.859208
3.747000	28.878541
3.752000	28.898541
3.757000	28.925540
3.763000	28.945540
3.768000	28.967602
3.773000	28.991539
3.779000	29.015539
3.784000	29.044038
3.789000	29.071538
3.795000	29.099537
3.800000	29.125537
3.805000	29.155536
3.810000	29.181469
3.816000	29.209536
3.821000	29.237410
3.827000	29.264868
3.832000	29.293347
3.837000	29.321846
3.843000	29.352533
3.848000	29.382533
3.853000	29.413532
3.859000	29.443782
3.864000	29.472531
3.869000	29.503906
3.874000	29.533530
3.880000	29.565663
3.885000	29.595529
3.891000	29.625529
3.896000	29.655728
3.901000	29.686528
3.907000	29.705528
3.912000	29.733527
3.917000	29.753527
3.923000	29.777527
3.928000	29.797526
3.933000	29.807526
3.939000	29.820526
3.944000	29.831526
3.949000	29.844900
3.954000	29.856525
3.960000	29.874525
3.965000	29.897525
3.971000	29.910524
3.976000	29.930524
3.981000	29.950524
3.986000	29.970523
3.992000	29.993523
3.997000	30.016523
4.003000	30.039522
4.008000	30.065522
4.013000	30.075655
4.019000	30.102521
4.024000	30.128646
4.029000	30.158120
4.035000	30.189520
4.040000	30.217520
4.045000	30.243519
4.051000	30.270519
4.056000	30.302518
4.061000	30.329518
4.067000	30.358455
4.072000	30.389517
4.077000	30.416516
