********************************************************************************
Field Output Report, written Thu Oct 26 16:15:52 2017

Source 1
---------

   ODB: C:/SIMULIA/BenchThesis/48/Job.odb
   Step: ToRotate
   Frame: Increment     10: Step Time =    1.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: PART-1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

            Node        NFORCSO1        NFORCSO2        NFORCSO3        NFORCSO4        NFORCSO5        NFORCSO6
           Label          @Loc 1          @Loc 1          @Loc 1          @Loc 1          @Loc 1          @Loc 1
-----------------------------------------------------------------------------------------------------------------
               1         306.795         29.7808         541.529     1.75898E+03    -1.44689E+03    -2.96529E+03
               2         300.529         59.0006         541.833     1.80217E+03    -1.55532E+03    -2.94497E+03
               3         286.189         117.062         540.182     1.89641E+03    -1.65932E+03    -2.90185E+03
               4         268.134         174.075         534.077     2.00628E+03    -1.76215E+03    -2.85344E+03
               5         246.162         229.434         523.678     2.13110E+03    -1.86285E+03    -2.79908E+03
               6         220.073         282.484         509.196     2.26999E+03    -1.96051E+03    -2.73812E+03
               7         189.691         332.521         490.901     2.42182E+03    -2.05430E+03    -2.66991E+03
               8         154.881         378.789         469.120     2.58527E+03    -2.14346E+03    -2.59382E+03
               9         115.580         420.492         444.242     2.75876E+03    -2.22733E+03    -2.50931E+03
              10         71.8160         456.793         416.707     2.94048E+03    -2.30536E+03    -2.41589E+03
              11         23.7414         486.839         387.010     3.12843E+03    -2.37710E+03    -2.31316E+03
              12        -28.3439         509.773         355.683     3.32036E+03    -2.44227E+03    -2.20085E+03
              13        -83.9680         524.771         323.287     3.51385E+03    -2.50069E+03    -2.07882E+03
              14        -142.468         531.069         290.391     3.70633E+03    -2.55234E+03    -1.94708E+03
              15        -202.977         528.013         257.554     3.89506E+03    -2.59732E+03    -1.80578E+03
              16        -264.424         515.098         225.296     4.07726E+03    -2.63587E+03    -1.65522E+03
              17        -325.536         492.021         194.076     4.25008E+03    -2.66835E+03    -1.49586E+03
              18        -384.873         458.729         164.265     4.41071E+03    -2.69521E+03    -1.32831E+03
              19        -440.863         415.458         136.120     4.55643E+03    -2.71694E+03    -1.15328E+03
              20        -491.873         362.766         109.770     4.68466E+03    -2.73411E+03        -971.640
              21        -536.289         301.543         85.2061     4.79307E+03    -2.74724E+03        -784.330
              22        -572.614         233.012         62.2768     4.87965E+03    -2.75685E+03        -592.387
              23        -599.561         158.697         40.7035     4.94273E+03    -2.76337E+03        -396.912
              24        -616.145         80.3741         20.0993     4.98108E+03    -2.76715E+03        -199.055
              25        -621.743              0.              0.     4.99395E+03    -2.76838E+03              0.
              26        -616.145        -80.3741        -20.0993     4.98108E+03    -2.76715E+03         199.055
              27        -599.561        -158.697        -40.7035     4.94273E+03    -2.76337E+03         396.912
              28        -572.614        -233.012        -62.2768     4.87965E+03    -2.75685E+03         592.387
              29        -536.289        -301.543        -85.2061     4.79307E+03    -2.74724E+03         784.330
              30        -491.873        -362.766        -109.770     4.68466E+03    -2.73411E+03         971.640
              31        -440.863        -415.458        -136.120     4.55643E+03    -2.71694E+03     1.15328E+03
              32        -384.873        -458.729        -164.265     4.41071E+03    -2.69521E+03     1.32831E+03
              33        -325.536        -492.021        -194.076     4.25008E+03    -2.66835E+03     1.49586E+03
              34        -264.424        -515.098        -225.296     4.07726E+03    -2.63587E+03     1.65522E+03
              35        -202.977        -528.013        -257.554     3.89506E+03    -2.59732E+03     1.80578E+03
              36        -142.468        -531.069        -290.391     3.70633E+03    -2.55234E+03     1.94708E+03
              37        -83.9680        -524.771        -323.287     3.51385E+03    -2.50069E+03     2.07882E+03
              38        -28.3439        -509.773        -355.683     3.32036E+03    -2.44227E+03     2.20085E+03
              39         23.7414        -486.839        -387.010     3.12843E+03    -2.37710E+03     2.31316E+03
              40         71.8160        -456.793        -416.707     2.94048E+03    -2.30536E+03     2.41589E+03
              41         115.580        -420.492        -444.242     2.75876E+03    -2.22733E+03     2.50931E+03
              42         154.881        -378.789        -469.120     2.58527E+03    -2.14346E+03     2.59382E+03
              43         189.691        -332.521        -490.901     2.42182E+03    -2.05430E+03     2.66991E+03
              44         220.073        -282.484        -509.196     2.26999E+03    -1.96051E+03     2.73812E+03
              45         246.162        -229.434        -523.678     2.13110E+03    -1.86285E+03     2.79908E+03
              46         268.134        -174.075        -534.077     2.00628E+03    -1.76215E+03     2.85344E+03
              47         286.189        -117.062        -540.182     1.89641E+03    -1.65932E+03     2.90185E+03
              48         300.529        -59.0006        -541.833     1.80217E+03    -1.55532E+03     2.94497E+03
              49         306.795        -29.7808        -541.529     1.75898E+03    -1.44689E+03     2.96529E+03


