N	E	E1	E2	E1/E0	E2/E0	|1-E1/E0|(percent)	|1-E2/E0|(percent)
2	0.0226	0.0144	0.017	0.6366	0.7534	36.3436	24.6553
3	0.0226	0.0186	0.0199	0.8218	0.8811	17.8209	11.8918
4	0.0226	0.0202	0.0211	0.8953	0.9343	10.4708	6.5723
5	0.0226	0.021	0.0216	0.9316	0.9583	6.8412	4.1724
6	0.0226	0.0215	0.0219	0.9519	0.9712	4.8069	2.885
7	0.0226	0.0218	0.0221	0.9644	0.9788	3.5582	2.115
8	0.0226	0.022	0.0222	0.9726	0.9838	2.7388	1.6182
9	0.0226	0.0221	0.0223	0.9783	0.9872	2.1728	1.2788
10	0.0226	0.0222	0.0224	0.9823	0.9896	1.7659	1.0368
11	0.0226	0.0223	0.0224	0.9854	0.9914	1.4638	0.8581
12	0.0226	0.0223	0.0224	0.9877	0.9928	1.2333	0.7224
13	0.0226	0.0224	0.0224	0.9895	0.9938	1.0536	0.6169
14	0.0226	0.0224	0.0225	0.9909	0.9947	0.9107	0.5333
15	0.0226	0.0224	0.0225	0.992	0.9953	0.7953	0.4659
16	0.0226	0.0224	0.0225	0.993	0.9959	0.7007	0.4108
17	0.0226	0.0224	0.0225	0.9938	0.9963	0.6223	0.3651
18	0.0226	0.0225	0.0225	0.9944	0.9967	0.5565	0.3268
19	0.0226	0.0225	0.0225	0.995	0.9971	0.5008	0.2945
20	0.0226	0.0225	0.0225	0.9955	0.9973	0.4532	0.2669
21	0.0226	0.0225	0.0225	0.9959	0.9976	0.4123	0.2431
22	0.0226	0.0225	0.0225	0.9962	0.9978	0.3767	0.2225
23	0.0226	0.0225	0.0225	0.9965	0.998	0.3457	0.2046
24	0.0226	0.0225	0.0225	0.9968	0.9981	0.3185	0.1888
25	0.0226	0.0225	0.0225	0.9971	0.9983	0.2945	0.1749
26	0.0226	0.0225	0.0226	0.9973	0.9984	0.2732	0.1626
27	0.0226	0.0225	0.0226	0.9975	0.9985	0.2542	0.1516
28	0.0226	0.0225	0.0226	0.9976	0.9986	0.2372	0.1418
29	0.0226	0.0225	0.0226	0.9978	0.9987	0.2219	0.133
30	0.0226	0.0225	0.0226	0.9979	0.9988	0.2082	0.125
31	0.0226	0.0225	0.0226	0.998	0.9988	0.1957	0.1178
32	0.0226	0.0225	0.0226	0.9982	0.9989	0.1844	0.1113
33	0.0226	0.0225	0.0226	0.9983	0.9989	0.1741	0.1053
34	0.0226	0.0226	0.0226	0.9984	0.999	0.1647	0.0999
35	0.0226	0.0226	0.0226	0.9984	0.9991	0.156	0.0949
36	0.0226	0.0226	0.0226	0.9985	0.9991	0.1481	0.0903
37	0.0226	0.0226	0.0226	0.9986	0.9991	0.1409	0.0861
38	0.0226	0.0226	0.0226	0.9987	0.9992	0.1342	0.0823
39	0.0226	0.0226	0.0226	0.9987	0.9992	0.128	0.0787
40	0.0226	0.0226	0.0226	0.9988	0.9992	0.1222	0.0754
41	0.0226	0.0226	0.0226	0.9988	0.9993	0.1169	0.0723
42	0.0226	0.0226	0.0226	0.9989	0.9993	0.1119	0.0694
43	0.0226	0.0226	0.0226	0.9989	0.9993	0.1073	0.0668
44	0.0226	0.0226	0.0226	0.999	0.9994	0.103	0.0643
45	0.0226	0.0226	0.0226	0.999	0.9994	0.099	0.062
46	0.0226	0.0226	0.0226	0.999	0.9994	0.0953	0.0598
47	0.0226	0.0226	0.0226	0.9991	0.9994	0.0917	0.0578
48	0.0226	0.0226	0.0226	0.9991	0.9994	0.0884	0.0559
49	0.0226	0.0226	0.0226	0.9991	0.9995	0.0854	0.0541
50	0.0226	0.0226	0.0226	0.9992	0.9995	0.0824	0.0524
