N	E	E1	E2	E1/E0	E2/E0	|1-E1/E0|(percent)	|1-E2/E0|(percent)
2	0.2486	0.1066	2.8385	0.4287	11.4186	57.1347	1041.8574
3	0.2486	0.1786	0.4331	0.7183	1.7423	28.1703	74.2296
4	0.2486	0.2045	0.3668	0.8226	1.4754	17.7379	47.5366
5	0.2486	0.219	0.3155	0.8811	1.2691	11.8872	26.9135
6	0.2486	0.2274	0.2936	0.9149	1.181	8.5081	18.105
7	0.2486	0.2328	0.2809	0.9363	1.1299	6.3683	12.9853
8	0.2486	0.2363	0.2729	0.9506	1.098	4.9376	9.7965
9	0.2486	0.2388	0.2676	0.9606	1.0766	3.9362	7.6619
10	0.2486	0.2406	0.2639	0.9679	1.0616	3.2094	6.1609
11	0.2486	0.242	0.2612	0.9733	1.0506	2.6658	5.0639
12	0.2486	0.243	0.2591	0.9775	1.0424	2.2491	4.2371
13	0.2486	0.2438	0.2575	0.9808	1.036	1.9227	3.5982
14	0.2486	0.2445	0.2563	0.9834	1.0309	1.6624	3.094
15	0.2486	0.245	0.2553	0.9855	1.0269	1.4516	2.6891
16	0.2486	0.2454	0.2545	0.9872	1.0236	1.2785	2.3588
17	0.2486	0.2458	0.2538	0.9887	1.0209	1.1346	2.0859
18	0.2486	0.2461	0.2532	0.9899	1.0186	1.0138	1.8577
19	0.2486	0.2463	0.2527	0.9909	1.0167	0.9114	1.6651
20	0.2486	0.2465	0.2523	0.9918	1.015	0.8238	1.5008
21	0.2486	0.2467	0.252	0.9925	1.0136	0.7483	1.3597
22	0.2486	0.2469	0.2517	0.9932	1.0124	0.6828	1.2376
23	0.2486	0.247	0.2514	0.9937	1.0113	0.6256	1.1311
24	0.2486	0.2472	0.2512	0.9942	1.0104	0.5754	1.0378
25	0.2486	0.2473	0.251	0.9947	1.0096	0.531	0.9555
26	0.2486	0.2474	0.2508	0.9951	1.0088	0.4916	0.8826
27	0.2486	0.2475	0.2506	0.9954	1.0082	0.4565	0.8177
28	0.2486	0.2475	0.2505	0.9957	1.0076	0.425	0.7596
29	0.2486	0.2476	0.2503	0.996	1.0071	0.3968	0.7075
30	0.2486	0.2477	0.2502	0.9963	1.0066	0.3713	0.6605
31	0.2486	0.2477	0.2501	0.9965	1.0062	0.3482	0.618
32	0.2486	0.2478	0.25	0.9967	1.0058	0.3273	0.5795
33	0.2486	0.2478	0.2499	0.9969	1.0054	0.3082	0.5444
34	0.2486	0.2479	0.2499	0.9971	1.0051	0.2908	0.5123
35	0.2486	0.2479	0.2498	0.9973	1.0048	0.2748	0.483
36	0.2486	0.2479	0.2497	0.9974	1.0046	0.2602	0.4561
37	0.2486	0.248	0.2497	0.9975	1.0043	0.2467	0.4314
38	0.2486	0.248	0.2496	0.9977	1.0041	0.2342	0.4086
39	0.2486	0.248	0.2496	0.9978	1.0039	0.2227	0.3875
40	0.2486	0.2481	0.2495	0.9979	1.0037	0.2121	0.368
41	0.2486	0.2481	0.2495	0.998	1.0035	0.2022	0.3499
42	0.2486	0.2481	0.2494	0.9981	1.0033	0.193	0.3331
43	0.2486	0.2481	0.2494	0.9982	1.0032	0.1845	0.3175
44	0.2486	0.2482	0.2493	0.9982	1.003	0.1765	0.3029
45	0.2486	0.2482	0.2493	0.9983	1.0029	0.1691	0.2892
46	0.2486	0.2482	0.2493	0.9984	1.0028	0.1621	0.2765
47	0.2486	0.2482	0.2492	0.9984	1.0026	0.1556	0.2645
48	0.2486	0.2482	0.2492	0.9985	1.0025	0.1495	0.2533
49	0.2486	0.2482	0.2492	0.9986	1.0024	0.1437	0.2428
50	0.2486	0.2482	0.2492	0.9986	1.0023	0.1383	0.2329
