N	E	E1	E2	E1/E0	E2/E0	|1-E1/E0|(percent)	|1-E2/E0|(percent)
2	0.4794	0.1087	0.8111	0.2267	1.6919	77.3288	69.1888
3	0.4794	0.2214	2.1451	0.4617	4.4745	53.8282	347.4454
4	0.4794	0.3423	2.0416	0.714	4.2586	28.5989	325.8622
5	0.4794	0.3864	0.9335	0.806	1.9471	19.404	94.7118
6	0.4794	0.4115	0.7767	0.8583	1.62	14.1724	62.003
7	0.4794	0.4279	0.6725	0.8926	1.4027	10.7351	40.2661
8	0.4794	0.439	0.6202	0.9158	1.2936	8.4196	29.3622
9	0.4794	0.447	0.5863	0.9324	1.223	6.7639	22.3041
10	0.4794	0.4528	0.5638	0.9445	1.1761	5.548	17.611
11	0.4794	0.4572	0.5479	0.9537	1.1428	4.6286	14.2804
12	0.4794	0.4606	0.5361	0.9608	1.1183	3.9181	11.8307
13	0.4794	0.4633	0.5272	0.9664	1.0997	3.358	9.9708
14	0.4794	0.4655	0.5203	0.9709	1.0852	2.909	8.5235
15	0.4794	0.4672	0.5148	0.9746	1.0737	2.5439	7.3736
16	0.4794	0.4687	0.5103	0.9776	1.0644	2.2431	6.4441
17	0.4794	0.4699	0.5067	0.9801	1.0568	1.9922	5.6818
18	0.4794	0.4709	0.5036	0.9822	1.0505	1.7812	5.0481
19	0.4794	0.4717	0.5011	0.984	1.0452	1.6018	4.5157
20	0.4794	0.4725	0.4989	0.9855	1.0406	1.4482	4.0639
21	0.4794	0.4731	0.497	0.9868	1.0368	1.3155	3.677
22	0.4794	0.4737	0.4954	0.988	1.0334	1.2003	3.3432
23	0.4794	0.4741	0.494	0.989	1.0305	1.0996	3.0531
24	0.4794	0.4746	0.4928	0.9899	1.028	1.0111	2.7992
25	0.4794	0.4749	0.4918	0.9907	1.0258	0.9328	2.5759
26	0.4794	0.4753	0.4908	0.9914	1.0238	0.8632	2.3785
27	0.4794	0.4756	0.49	0.992	1.022	0.8011	2.203
28	0.4794	0.4758	0.4892	0.9925	1.0205	0.7455	2.0463
29	0.4794	0.4761	0.4885	0.993	1.0191	0.6955	1.9057
30	0.4794	0.4763	0.4879	0.9935	1.0178	0.6504	1.7792
31	0.4794	0.4765	0.4874	0.9939	1.0166	0.6095	1.6649
32	0.4794	0.4767	0.4869	0.9943	1.0156	0.5724	1.5613
33	0.4794	0.4768	0.4864	0.9946	1.0147	0.5386	1.4671
34	0.4794	0.477	0.486	0.9949	1.0138	0.5077	1.3811
35	0.4794	0.4771	0.4857	0.9952	1.013	0.4794	1.3025
36	0.4794	0.4772	0.4853	0.9955	1.0123	0.4534	1.2305
37	0.4794	0.4774	0.485	0.9957	1.0116	0.4295	1.1642
38	0.4794	0.4775	0.4847	0.9959	1.011	0.4074	1.1032
39	0.4794	0.4776	0.4844	0.9961	1.0105	0.387	1.0468
40	0.4794	0.4776	0.4842	0.9963	1.0099	0.3681	0.9947
41	0.4794	0.4777	0.4839	0.9965	1.0095	0.3505	0.9463
42	0.4794	0.4778	0.4837	0.9967	1.009	0.3342	0.9014
43	0.4794	0.4779	0.4835	0.9968	1.0086	0.319	0.8596
44	0.4794	0.478	0.4833	0.997	1.0082	0.3049	0.8207
45	0.4794	0.478	0.4832	0.9971	1.0078	0.2916	0.7843
46	0.4794	0.4781	0.483	0.9972	1.0075	0.2793	0.7503
47	0.4794	0.4781	0.4829	0.9973	1.0072	0.2676	0.7185
48	0.4794	0.4782	0.4827	0.9974	1.0069	0.2568	0.6885
49	0.4794	0.4782	0.4826	0.9975	1.0066	0.2464	0.6606
50	0.4794	0.4783	0.4825	0.9976	1.0063	0.237	0.634
