N	E	E1	E2	E1/E0	E2/E0	|1-E1/E0|(percent)	|1-E2/E0|(percent)
2	0.1532	0.0792	0.3427	0.5171	2.2371	48.2876	123.7104
3	0.1532	0.1172	0.1951	0.7651	1.2738	23.4906	27.3791
4	0.1532	0.131	0.1812	0.8552	1.1826	14.4777	18.2647
5	0.1532	0.1384	0.1707	0.9038	1.1146	9.6234	11.4643
6	0.1532	0.1427	0.1654	0.9316	1.0796	6.8351	7.9612
7	0.1532	0.1454	0.1621	0.9491	1.0584	5.0927	5.8395
8	0.1532	0.1471	0.16	0.9606	1.0446	3.936	4.4649
9	0.1532	0.1484	0.1586	0.9687	1.0352	3.1311	3.5239
10	0.1532	0.1493	0.1575	0.9745	1.0285	2.5491	2.8513
11	0.1532	0.1499	0.1568	0.9788	1.0235	2.1152	2.3541
12	0.1532	0.1504	0.1562	0.9822	1.0198	1.7832	1.9761
13	0.1532	0.1508	0.1558	0.9848	1.0168	1.5237	1.6822
14	0.1532	0.1512	0.1554	0.9868	1.0145	1.317	1.449
15	0.1532	0.1514	0.1551	0.9885	1.0126	1.1498	1.2609
16	0.1532	0.1516	0.1549	0.9899	1.0111	1.0127	1.1071
17	0.1532	0.1518	0.1547	0.991	1.0098	0.8988	0.9796
18	0.1532	0.1519	0.1545	0.992	1.0087	0.8032	0.8727
19	0.1532	0.1521	0.1544	0.9928	1.0078	0.7222	0.7824
20	0.1532	0.1522	0.1543	0.9935	1.0071	0.653	0.7052
21	0.1532	0.1523	0.1542	0.9941	1.0064	0.5933	0.6388
22	0.1532	0.1523	0.1541	0.9946	1.0058	0.5416	0.5812
23	0.1532	0.1524	0.154	0.995	1.0053	0.4964	0.531
24	0.1532	0.1525	0.1539	0.9954	1.0049	0.4567	0.487
25	0.1532	0.1525	0.1539	0.9958	1.0045	0.4217	0.4481
26	0.1532	0.1526	0.1538	0.9961	1.0041	0.3906	0.4137
27	0.1532	0.1526	0.1538	0.9964	1.0038	0.3629	0.3829
28	0.1532	0.1527	0.1537	0.9966	1.0036	0.3381	0.3555
29	0.1532	0.1527	0.1537	0.9968	1.0033	0.3159	0.3308
30	0.1532	0.1527	0.1536	0.997	1.0031	0.2958	0.3085
31	0.1532	0.1527	0.1536	0.9972	1.0029	0.2776	0.2884
32	0.1532	0.1528	0.1536	0.9974	1.0027	0.2611	0.2701
33	0.1532	0.1528	0.1536	0.9975	1.0025	0.246	0.2535
34	0.1532	0.1528	0.1535	0.9977	1.0024	0.2323	0.2383
35	0.1532	0.1528	0.1535	0.9978	1.0022	0.2197	0.2244
36	0.1532	0.1529	0.1535	0.9979	1.0021	0.2081	0.2116
37	0.1532	0.1529	0.1535	0.998	1.002	0.1975	0.1999
38	0.1532	0.1529	0.1535	0.9981	1.0019	0.1877	0.1891
39	0.1532	0.1529	0.1534	0.9982	1.0018	0.1787	0.1791
40	0.1532	0.1529	0.1534	0.9983	1.0017	0.1703	0.1698
41	0.1532	0.1529	0.1534	0.9984	1.0016	0.1625	0.1612
42	0.1532	0.1529	0.1534	0.9984	1.0015	0.1553	0.1532
43	0.1532	0.1529	0.1534	0.9985	1.0015	0.1485	0.1458
44	0.1532	0.153	0.1534	0.9986	1.0014	0.1422	0.1388
45	0.1532	0.153	0.1534	0.9986	1.0013	0.1364	0.1323
46	0.1532	0.153	0.1534	0.9987	1.0013	0.1309	0.1263
47	0.1532	0.153	0.1534	0.9987	1.0012	0.1257	0.1206
48	0.1532	0.153	0.1534	0.9988	1.0012	0.1209	0.1153
49	0.1532	0.153	0.1533	0.9988	1.0011	0.1164	0.1103
50	0.1532	0.153	0.1533	0.9989	1.0011	0.1121	0.1055
