N	E	E1	E2	E1/E0	E2/E0	|1-E1/E0|(percent)	|1-E2/E0|(percent)
2	0.3463	0.1174	24.7993	0.3389	71.6067	66.1061	7060.6651
3	0.3463	0.2248	0.8692	0.649	2.5099	35.1012	150.988
4	0.3463	0.2711	0.701	0.7826	2.0242	21.7355	102.4153
5	0.3463	0.2956	0.5153	0.8536	1.4879	14.6409	48.7934
6	0.3463	0.3097	0.4572	0.8942	1.3203	10.5785	32.0257
7	0.3463	0.3188	0.4236	0.9204	1.2232	7.9601	22.324
8	0.3463	0.3249	0.4038	0.938	1.166	6.1975	16.6047
9	0.3463	0.3292	0.3909	0.9505	1.1286	4.9548	12.8569
10	0.3463	0.3323	0.3819	0.9595	1.1027	4.0485	10.2675
11	0.3463	0.3347	0.3754	0.9663	1.084	3.3679	8.3974
12	0.3463	0.3365	0.3706	0.9716	1.07	2.8446	7.0005
13	0.3463	0.3379	0.3669	0.9757	1.0593	2.4338	5.9283
14	0.3463	0.339	0.3639	0.9789	1.0509	2.1056	5.0866
15	0.3463	0.34	0.3616	0.9816	1.0441	1.8394	4.4134
16	0.3463	0.3407	0.3597	0.9838	1.0387	1.6205	3.8662
17	0.3463	0.3413	0.3582	0.9856	1.0342	1.4384	3.4154
18	0.3463	0.3419	0.3569	0.9871	1.0304	1.2854	3.0393
19	0.3463	0.3423	0.3558	0.9884	1.0272	1.1555	2.7223
20	0.3463	0.3427	0.3548	0.9896	1.0245	1.0444	2.4525
21	0.3463	0.343	0.354	0.9905	1.0222	0.9486	2.2211
22	0.3463	0.3433	0.3533	0.9913	1.0202	0.8655	2.0209
23	0.3463	0.3436	0.3527	0.9921	1.0185	0.7928	1.8467
24	0.3463	0.3438	0.3522	0.9927	1.0169	0.729	1.6941
25	0.3463	0.344	0.3517	0.9933	1.0156	0.6726	1.5596
26	0.3463	0.3442	0.3513	0.9938	1.0144	0.6225	1.4406
27	0.3463	0.3443	0.3509	0.9942	1.0133	0.5778	1.3347
28	0.3463	0.3445	0.3506	0.9946	1.0124	0.5378	1.2401
29	0.3463	0.3446	0.3503	0.995	1.0116	0.5018	1.1551
30	0.3463	0.3447	0.3501	0.9953	1.0108	0.4694	1.0786
31	0.3463	0.3448	0.3498	0.9956	1.0101	0.44	1.0094
32	0.3463	0.3449	0.3496	0.9959	1.0095	0.4134	0.9466
33	0.3463	0.345	0.3494	0.9961	1.0089	0.3891	0.8895
34	0.3463	0.3451	0.3492	0.9963	1.0084	0.3669	0.8374
35	0.3463	0.3451	0.3491	0.9965	1.0079	0.3466	0.7898
36	0.3463	0.3452	0.3489	0.9967	1.0075	0.3279	0.746
37	0.3463	0.3453	0.3488	0.9969	1.0071	0.3107	0.7058
38	0.3463	0.3453	0.3486	0.9971	1.0067	0.2949	0.6688
39	0.3463	0.3454	0.3485	0.9972	1.0063	0.2803	0.6345
40	0.3463	0.3454	0.3484	0.9973	1.006	0.2667	0.6028
41	0.3463	0.3454	0.3483	0.9975	1.0057	0.2541	0.5735
42	0.3463	0.3455	0.3482	0.9976	1.0055	0.2424	0.5461
43	0.3463	0.3455	0.3481	0.9977	1.0052	0.2315	0.5207
44	0.3463	0.3456	0.348	0.9978	1.005	0.2214	0.497
45	0.3463	0.3456	0.348	0.9979	1.0047	0.2119	0.4749
46	0.3463	0.3456	0.3479	0.998	1.0045	0.203	0.4542
47	0.3463	0.3457	0.3478	0.9981	1.0043	0.1947	0.4348
48	0.3463	0.3457	0.3478	0.9981	1.0042	0.1869	0.4166
49	0.3463	0.3457	0.3477	0.9982	1.004	0.1795	0.3996
50	0.3463	0.3457	0.3477	0.9983	1.0038	0.1727	0.3835
