N	E	E1	E2	E1/E0	E2/E0	|1-E1/E0|(percent)	|1-E2/E0|(percent)
2	0.2077	0.0969	0.9864	0.4666	4.7501	53.3364	375.0079
3	0.2077	0.1536	0.3148	0.7396	1.516	26.0354	51.5954
4	0.2077	0.1739	0.2765	0.8373	1.3316	16.274	33.159
5	0.2077	0.1851	0.2486	0.8913	1.1973	10.8749	19.7263
6	0.2077	0.1916	0.2356	0.9224	1.1343	7.7558	13.4336
7	0.2077	0.1956	0.2279	0.9421	1.0973	5.7933	9.7289
8	0.2077	0.1983	0.223	0.9551	1.0738	4.4852	7.3811
9	0.2077	0.2002	0.2197	0.9643	1.0579	3.572	5.7949
10	0.2077	0.2016	0.2174	0.9709	1.0467	2.9104	4.672
11	0.2077	0.2026	0.2157	0.9758	1.0385	2.4163	3.8474
12	0.2077	0.2034	0.2144	0.9796	1.0322	2.0378	3.2238
13	0.2077	0.204	0.2134	0.9826	1.0274	1.7416	2.7406
14	0.2077	0.2045	0.2126	0.9849	1.0236	1.5056	2.3584
15	0.2077	0.2049	0.2119	0.9869	1.0205	1.3145	2.051
16	0.2077	0.2053	0.2114	0.9884	1.018	1.1577	1.7999
17	0.2077	0.2055	0.211	0.9897	1.0159	1.0274	1.5922
18	0.2077	0.2058	0.2106	0.9908	1.0142	0.9181	1.4184
19	0.2077	0.206	0.2103	0.9917	1.0127	0.8254	1.2715
20	0.2077	0.2061	0.21	0.9925	1.0115	0.7461	1.1462
21	0.2077	0.2063	0.2098	0.9932	1.0104	0.6778	1.0385
22	0.2077	0.2064	0.2096	0.9938	1.0095	0.6186	0.9452
23	0.2077	0.2065	0.2095	0.9943	1.0086	0.5668	0.8639
24	0.2077	0.2066	0.2093	0.9948	1.0079	0.5214	0.7925
25	0.2077	0.2067	0.2092	0.9952	1.0073	0.4812	0.7296
26	0.2077	0.2067	0.2091	0.9955	1.0067	0.4456	0.6738
27	0.2077	0.2068	0.209	0.9959	1.0062	0.4139	0.6242
28	0.2077	0.2069	0.2089	0.9961	1.0058	0.3855	0.5798
29	0.2077	0.2069	0.2088	0.9964	1.0054	0.3599	0.5399
30	0.2077	0.207	0.2087	0.9966	1.005	0.3369	0.5039
31	0.2077	0.207	0.2086	0.9968	1.0047	0.316	0.4714
32	0.2077	0.207	0.2086	0.997	1.0044	0.2971	0.4419
33	0.2077	0.2071	0.2085	0.9972	1.0041	0.2798	0.415
34	0.2077	0.2071	0.2085	0.9974	1.0039	0.2641	0.3905
35	0.2077	0.2071	0.2084	0.9975	1.0037	0.2497	0.368
36	0.2077	0.2072	0.2084	0.9976	1.0035	0.2364	0.3474
37	0.2077	0.2072	0.2083	0.9978	1.0033	0.2242	0.3285
38	0.2077	0.2072	0.2083	0.9979	1.0031	0.213	0.311
39	0.2077	0.2072	0.2083	0.998	1.0029	0.2026	0.2948
40	0.2077	0.2073	0.2082	0.9981	1.0028	0.193	0.2799
41	0.2077	0.2073	0.2082	0.9982	1.0027	0.1841	0.266
42	0.2077	0.2073	0.2082	0.9982	1.0025	0.1758	0.2531
43	0.2077	0.2073	0.2082	0.9983	1.0024	0.1681	0.2411
44	0.2077	0.2073	0.2081	0.9984	1.0023	0.1609	0.23
45	0.2077	0.2073	0.2081	0.9985	1.0022	0.1541	0.2195
46	0.2077	0.2074	0.2081	0.9985	1.0021	0.1478	0.2097
47	0.2077	0.2074	0.2081	0.9986	1.002	0.1419	0.2006
48	0.2077	0.2074	0.2081	0.9986	1.0019	0.1364	0.192
49	0.2077	0.2074	0.208	0.9987	1.0018	0.1312	0.1839
50	0.2077	0.2074	0.208	0.9987	1.0018	0.1263	0.1763
