N	E	E1	E2	E1/E0	E2/E0	|1-E1/E0|(percent)	|1-E2/E0|(percent)
2	0.0102	0.0066	0.0071	0.6477	0.6982	35.2264	30.1811
3	0.0102	0.0085	0.0087	0.8271	0.8534	17.2928	14.6584
4	0.0102	0.0092	0.0094	0.8988	0.9162	10.1183	8.3801
5	0.0102	0.0096	0.0097	0.934	0.946	6.5987	5.4039
6	0.0102	0.0098	0.0098	0.9537	0.9623	4.6318	3.7694
7	0.0102	0.0099	0.0099	0.9657	0.9722	3.4265	2.778
8	0.0102	0.01	0.01	0.9736	0.9787	2.6364	2.1323
9	0.0102	0.01	0.0101	0.9791	0.9831	2.0911	1.6887
10	0.0102	0.0101	0.0101	0.983	0.9863	1.6993	1.3709
11	0.0102	0.0101	0.0101	0.9859	0.9886	1.4084	1.1356
12	0.0102	0.0101	0.0101	0.9881	0.9904	1.1866	0.9564
13	0.0102	0.0101	0.0102	0.9899	0.9918	1.0137	0.8169
14	0.0102	0.0101	0.0102	0.9912	0.9929	0.8762	0.7061
15	0.0102	0.0102	0.0102	0.9923	0.9938	0.7652	0.6167
16	0.0102	0.0102	0.0102	0.9933	0.9946	0.6743	0.5435
17	0.0102	0.0102	0.0102	0.994	0.9952	0.5988	0.4829
18	0.0102	0.0102	0.0102	0.9946	0.9957	0.5356	0.432
19	0.0102	0.0102	0.0102	0.9952	0.9961	0.482	0.389
20	0.0102	0.0102	0.0102	0.9956	0.9965	0.4363	0.3522
21	0.0102	0.0102	0.0102	0.996	0.9968	0.3969	0.3206
22	0.0102	0.0102	0.0102	0.9964	0.9971	0.3627	0.2932
23	0.0102	0.0102	0.0102	0.9967	0.9973	0.3329	0.2693
24	0.0102	0.0102	0.0102	0.9969	0.9975	0.3068	0.2483
25	0.0102	0.0102	0.0102	0.9972	0.9977	0.2837	0.2297
26	0.0102	0.0102	0.0102	0.9974	0.9979	0.2632	0.2133
27	0.0102	0.0102	0.0102	0.9976	0.998	0.2449	0.1987
28	0.0102	0.0102	0.0102	0.9977	0.9981	0.2286	0.1856
29	0.0102	0.0102	0.0102	0.9979	0.9983	0.2139	0.1738
30	0.0102	0.0102	0.0102	0.998	0.9984	0.2007	0.1632
31	0.0102	0.0102	0.0102	0.9981	0.9985	0.1887	0.1536
32	0.0102	0.0102	0.0102	0.9982	0.9986	0.1778	0.1449
33	0.0102	0.0102	0.0102	0.9983	0.9986	0.1679	0.1369
34	0.0102	0.0102	0.0102	0.9984	0.9987	0.1589	0.1297
35	0.0102	0.0102	0.0102	0.9985	0.9988	0.1506	0.123
36	0.0102	0.0102	0.0102	0.9986	0.9988	0.143	0.1169
37	0.0102	0.0102	0.0102	0.9986	0.9989	0.136	0.1113
38	0.0102	0.0102	0.0102	0.9987	0.9989	0.1296	0.1061
39	0.0102	0.0102	0.0102	0.9988	0.999	0.1236	0.1014
40	0.0102	0.0102	0.0102	0.9988	0.999	0.1181	0.0969
41	0.0102	0.0102	0.0102	0.9989	0.9991	0.113	0.0928
42	0.0102	0.0102	0.0102	0.9989	0.9991	0.1082	0.089
43	0.0102	0.0102	0.0102	0.999	0.9991	0.1038	0.0855
44	0.0102	0.0102	0.0102	0.999	0.9992	0.0996	0.0822
45	0.0102	0.0102	0.0102	0.999	0.9992	0.0958	0.0791
46	0.0102	0.0102	0.0102	0.9991	0.9992	0.0922	0.0762
47	0.0102	0.0102	0.0102	0.9991	0.9993	0.0888	0.0735
48	0.0102	0.0102	0.0102	0.9991	0.9993	0.0856	0.071
49	0.0102	0.0102	0.0102	0.9992	0.9993	0.0827	0.0686
50	0.0102	0.0102	0.0102	0.9992	0.9993	0.0798	0.0663
