N	E	E1	E2	E1/E0	E2/E0	|1-E1/E0|(percent)	|1-E2/E0|(percent)
2	0.2708	0.1105	6.4223	0.4081	23.718	59.1935	2271.8006
3	0.2708	0.191	0.5103	0.7053	1.8847	29.4686	88.469
4	0.2708	0.2204	0.4251	0.8141	1.5698	18.587	56.9796
5	0.2708	0.237	0.3554	0.8753	1.3126	12.4747	31.2619
6	0.2708	0.2466	0.3274	0.9105	1.209	8.947	20.8976
7	0.2708	0.2526	0.3111	0.933	1.149	6.7049	14.9046
8	0.2708	0.2567	0.3011	0.948	1.1121	5.2031	11.2097
9	0.2708	0.2595	0.2945	0.9585	1.0875	4.1504	8.7486
10	0.2708	0.2616	0.2898	0.9661	1.0702	3.3856	7.0244
11	0.2708	0.2632	0.2864	0.9719	1.0577	2.813	5.7675
12	0.2708	0.2643	0.2838	0.9763	1.0482	2.3738	4.822
13	0.2708	0.2653	0.2819	0.9797	1.0409	2.0296	4.0925
14	0.2708	0.266	0.2803	0.9824	1.0352	1.7551	3.5174
15	0.2708	0.2666	0.2791	0.9847	1.0306	1.5326	3.056
16	0.2708	0.2671	0.278	0.9865	1.0268	1.3499	2.6799
17	0.2708	0.2675	0.2772	0.988	1.0237	1.1981	2.3694
18	0.2708	0.2679	0.2765	0.9893	1.0211	1.0705	2.1099
19	0.2708	0.2682	0.2759	0.9904	1.0189	0.9624	1.8908
20	0.2708	0.2684	0.2754	0.9913	1.017	0.8698	1.7042
21	0.2708	0.2686	0.275	0.9921	1.0154	0.7901	1.5438
22	0.2708	0.2688	0.2746	0.9928	1.0141	0.7209	1.4051
23	0.2708	0.269	0.2743	0.9934	1.0128	0.6605	1.2842
24	0.2708	0.2691	0.274	0.9939	1.0118	0.6074	1.1782
25	0.2708	0.2693	0.2737	0.9944	1.0108	0.5605	1.0848
26	0.2708	0.2694	0.2735	0.9948	1.01	0.5189	1.0021
27	0.2708	0.2695	0.2733	0.9952	1.0093	0.4818	0.9284
28	0.2708	0.2696	0.2731	0.9955	1.0086	0.4485	0.8625
29	0.2708	0.2696	0.273	0.9958	1.008	0.4187	0.8034
30	0.2708	0.2697	0.2728	0.9961	1.0075	0.3917	0.7501
31	0.2708	0.2698	0.2727	0.9963	1.007	0.3673	0.7019
32	0.2708	0.2698	0.2726	0.9965	1.0066	0.3452	0.6582
33	0.2708	0.2699	0.2725	0.9967	1.0062	0.325	0.6184
34	0.2708	0.2699	0.2724	0.9969	1.0058	0.3066	0.582
35	0.2708	0.27	0.2723	0.9971	1.0055	0.2897	0.5488
36	0.2708	0.27	0.2722	0.9973	1.0052	0.2743	0.5183
37	0.2708	0.2701	0.2721	0.9974	1.0049	0.26	0.4903
38	0.2708	0.2701	0.272	0.9975	1.0046	0.2469	0.4644
39	0.2708	0.2701	0.272	0.9977	1.0044	0.2347	0.4405
40	0.2708	0.2702	0.2719	0.9978	1.0042	0.2235	0.4184
41	0.2708	0.2702	0.2719	0.9979	1.004	0.213	0.3979
42	0.2708	0.2702	0.2718	0.998	1.0038	0.2033	0.3788
43	0.2708	0.2703	0.2718	0.9981	1.0036	0.1943	0.3611
44	0.2708	0.2703	0.2717	0.9981	1.0034	0.1858	0.3445
45	0.2708	0.2703	0.2717	0.9982	1.0033	0.178	0.3291
46	0.2708	0.2703	0.2716	0.9983	1.0031	0.1706	0.3146
47	0.2708	0.2703	0.2716	0.9984	1.003	0.1637	0.3011
48	0.2708	0.2704	0.2716	0.9984	1.0029	0.1572	0.2884
49	0.2708	0.2704	0.2715	0.9985	1.0028	0.1511	0.2765
50	0.2708	0.2704	0.2715	0.9985	1.0027	0.1454	0.2652
