N	E	E1	E2	E1/E0	E2/E0	|1-E1/E0|(percent)	|1-E2/E0|(percent)
2	0.1705	0.0855	0.4695	0.5012	2.7532	49.8802	175.3197
3	0.1705	0.1292	0.2293	0.7574	1.3449	24.2599	34.4898
4	0.1705	0.1449	0.2089	0.8499	1.225	15.0056	22.5041
5	0.1705	0.1535	0.1942	0.9001	1.139	9.9899	13.9016
6	0.1705	0.1584	0.1869	0.929	1.0959	7.103	9.5865
7	0.1705	0.1615	0.1825	0.947	1.07	5.2957	7.0011
8	0.1705	0.1635	0.1796	0.9591	1.0534	4.0948	5.3389
9	0.1705	0.165	0.1777	0.9674	1.0421	3.2583	4.206
10	0.1705	0.166	0.1763	0.9735	1.034	2.6532	3.399
11	0.1705	0.1668	0.1753	0.978	1.028	2.2018	2.8039
12	0.1705	0.1674	0.1745	0.9814	1.0235	1.8564	2.3522
13	0.1705	0.1678	0.1739	0.9841	1.02	1.5864	2.0014
14	0.1705	0.1682	0.1735	0.9863	1.0172	1.3712	1.7234
15	0.1705	0.1685	0.1731	0.988	1.015	1.1972	1.4994
16	0.1705	0.1687	0.1728	0.9895	1.0132	1.0544	1.3163
17	0.1705	0.1689	0.1725	0.9906	1.0116	0.9358	1.1646
18	0.1705	0.1691	0.1723	0.9916	1.0104	0.8362	1.0376
19	0.1705	0.1692	0.1721	0.9925	1.0093	0.7519	0.9301
20	0.1705	0.1694	0.172	0.9932	1.0084	0.6798	0.8384
21	0.1705	0.1695	0.1718	0.9938	1.0076	0.6176	0.7596
22	0.1705	0.1696	0.1717	0.9944	1.0069	0.5637	0.6912
23	0.1705	0.1696	0.1716	0.9948	1.0063	0.5167	0.6316
24	0.1705	0.1697	0.1715	0.9952	1.0058	0.4754	0.5793
25	0.1705	0.1698	0.1714	0.9956	1.0053	0.4389	0.5332
26	0.1705	0.1698	0.1714	0.9959	1.0049	0.4065	0.4923
27	0.1705	0.1699	0.1713	0.9962	1.0046	0.3776	0.4558
28	0.1705	0.1699	0.1712	0.9965	1.0042	0.3518	0.4232
29	0.1705	0.17	0.1712	0.9967	1.0039	0.3286	0.3939
30	0.1705	0.17	0.1712	0.9969	1.0037	0.3076	0.3675
31	0.1705	0.17	0.1711	0.9971	1.0034	0.2887	0.3437
32	0.1705	0.1701	0.1711	0.9973	1.0032	0.2715	0.322
33	0.1705	0.1701	0.171	0.9974	1.003	0.2558	0.3022
34	0.1705	0.1701	0.171	0.9976	1.0028	0.2415	0.2842
35	0.1705	0.1701	0.171	0.9977	1.0027	0.2284	0.2677
36	0.1705	0.1702	0.171	0.9978	1.0025	0.2164	0.2526
37	0.1705	0.1702	0.1709	0.9979	1.0024	0.2053	0.2387
38	0.1705	0.1702	0.1709	0.998	1.0023	0.1951	0.2258
39	0.1705	0.1702	0.1709	0.9981	1.0021	0.1856	0.214
40	0.1705	0.1702	0.1709	0.9982	1.002	0.1769	0.203
41	0.1705	0.1702	0.1709	0.9983	1.0019	0.1688	0.1928
42	0.1705	0.1703	0.1708	0.9984	1.0018	0.1612	0.1833
43	0.1705	0.1703	0.1708	0.9985	1.0017	0.1542	0.1745
44	0.1705	0.1703	0.1708	0.9985	1.0017	0.1477	0.1663
45	0.1705	0.1703	0.1708	0.9986	1.0016	0.1416	0.1586
46	0.1705	0.1703	0.1708	0.9986	1.0015	0.1359	0.1514
47	0.1705	0.1703	0.1708	0.9987	1.0014	0.1305	0.1447
48	0.1705	0.1703	0.1708	0.9987	1.0014	0.1255	0.1384
49	0.1705	0.1703	0.1708	0.9988	1.0013	0.1207	0.1324
50	0.1705	0.1703	0.1707	0.9988	1.0013	0.1163	0.1268
