N	E	E1	E2	E1/E0	E2/E0	|1-E1/E0|(percent)	|1-E2/E0|(percent)
2	0.1365	0.0727	0.2548	0.5327	1.8666	46.7311	86.6636
3	0.1365	0.1055	0.1654	0.7728	1.2115	22.7241	21.1531
4	0.1365	0.1175	0.1559	0.8611	1.1423	13.8931	14.2267
5	0.1365	0.1239	0.1489	0.9078	1.0909	9.2154	9.0912
6	0.1365	0.1276	0.1452	0.9347	1.0635	6.5341	6.3506
7	0.1365	0.1299	0.1429	0.9514	1.0468	4.8632	4.6763
8	0.1365	0.1314	0.1414	0.9624	1.0358	3.7562	3.5843
9	0.1365	0.1324	0.1404	0.9701	1.0283	2.9866	2.8332
10	0.1365	0.1332	0.1396	0.9757	1.0229	2.4308	2.2949
11	0.1365	0.1338	0.1391	0.9798	1.019	2.0166	1.896
12	0.1365	0.1342	0.1387	0.983	1.0159	1.6999	1.5924
13	0.1365	0.1345	0.1384	0.9855	1.0136	1.4524	1.3559
14	0.1365	0.1348	0.1381	0.9874	1.0117	1.2553	1.1681
15	0.1365	0.135	0.1379	0.989	1.0102	1.096	1.0166
16	0.1365	0.1352	0.1377	0.9903	1.0089	0.9653	0.8925
17	0.1365	0.1353	0.1376	0.9914	1.0079	0.8568	0.7896
18	0.1365	0.1355	0.1375	0.9923	1.007	0.7657	0.7034
19	0.1365	0.1356	0.1374	0.9931	1.0063	0.6886	0.6304
20	0.1365	0.1357	0.1373	0.9938	1.0057	0.6226	0.5681
21	0.1365	0.1357	0.1372	0.9943	1.0051	0.5658	0.5145
22	0.1365	0.1358	0.1371	0.9948	1.0047	0.5165	0.468
23	0.1365	0.1359	0.1371	0.9953	1.0043	0.4735	0.4274
24	0.1365	0.1359	0.137	0.9956	1.0039	0.4358	0.3918
25	0.1365	0.136	0.137	0.996	1.0036	0.4024	0.3604
26	0.1365	0.136	0.137	0.9963	1.0033	0.3728	0.3325
27	0.1365	0.136	0.1369	0.9965	1.0031	0.3464	0.3077
28	0.1365	0.1361	0.1369	0.9968	1.0029	0.3228	0.2855
29	0.1365	0.1361	0.1369	0.997	1.0027	0.3016	0.2655
30	0.1365	0.1361	0.1368	0.9972	1.0025	0.2825	0.2475
31	0.1365	0.1361	0.1368	0.9973	1.0023	0.2652	0.2312
32	0.1365	0.1362	0.1368	0.9975	1.0022	0.2495	0.2164
33	0.1365	0.1362	0.1368	0.9976	1.002	0.2351	0.203
34	0.1365	0.1362	0.1368	0.9978	1.0019	0.2221	0.1907
35	0.1365	0.1362	0.1368	0.9979	1.0018	0.2101	0.1794
36	0.1365	0.1362	0.1367	0.998	1.0017	0.1991	0.1691
37	0.1365	0.1362	0.1367	0.9981	1.0016	0.189	0.1596
38	0.1365	0.1363	0.1367	0.9982	1.0015	0.1796	0.1508
39	0.1365	0.1363	0.1367	0.9983	1.0014	0.171	0.1427
40	0.1365	0.1363	0.1367	0.9984	1.0014	0.163	0.1352
41	0.1365	0.1363	0.1367	0.9984	1.0013	0.1556	0.1283
42	0.1365	0.1363	0.1367	0.9985	1.0012	0.1487	0.1218
43	0.1365	0.1363	0.1367	0.9986	1.0012	0.1423	0.1158
44	0.1365	0.1363	0.1367	0.9986	1.0011	0.1364	0.1102
45	0.1365	0.1363	0.1366	0.9987	1.001	0.1308	0.1049
46	0.1365	0.1363	0.1366	0.9987	1.001	0.1256	0.1
47	0.1365	0.1363	0.1366	0.9988	1.001	0.1207	0.0954
48	0.1365	0.1363	0.1366	0.9988	1.0009	0.1161	0.0911
49	0.1365	0.1364	0.1366	0.9989	1.0009	0.1118	0.087
50	0.1365	0.1364	0.1366	0.9989	1.0008	0.1077	0.0832
