Generic,CPU_mean_BLAS,CPU_conf_BLAS,CPU_mean_MKL,CPU_conf_MKL,CPU_mean_Julia,CPU_conf_Julia
{$ X.Y $},.32976150439342405,.0014634773306065527,.35124007237405963,.005530873747163138,3.8958438131097037,.5385688975593269
{$ \lambda X $},.28040329976622913,.0010598364817059436,.2951938870566453,.0012406502776611441,1.9072736112169475,.10336097987548795
{$ X+Y $},.3791970975168558,.0019651068498178943,.6183216986044573,.0047129519978934865,1.8903299320397913,.10900475976971964
{$ X-Y $},.3785558229531986,.0018093392920628818,.5866711739603381,.003870848416814052,1.9928685256234584,.1395904339308776
{$ \lambda X+Y $},.3828645597766949,.0022190753700559772,.3666126294877253,.004720124835099363,3.8151159454374413,.24268851977193134
{$ X*Y $},nan,nan,.5692922324398357,.0040755886448739275,3.5946768019269966,.5892418662169118
{$ X^2 $},nan,nan,.4810260941644562,.008266442847695921,11.931857790368271,.25848412693316675
{$ X/Y $},nan,nan,3.5454166421207667,.015778062277405053,8.722284444444444,1.1438870200374733
{$ 1/X $},nan,nan,3.4953531598513012,.017392792013536235,7.288458103779631,.23718080035211214
{$ |X| $},nan,nan,.4790911045184847,.0026174493228406544,2.1195941775653924,.10869487995381877
{$ \sqrt{X} $},nan,nan,3.3839712765957444,.048828070028240536,7.000045729657027,.19971549541659067
{$ 1/\sqrt{X} $},nan,nan,2.4379382985353697,.026863096369467616,14.453060874999991,.47760914859608483
