********************************************************************************
Field Output Report, written Thu Oct 26 16:11:35 2017

Source 1
---------

   ODB: C:/SIMULIA/BenchThesis/12/Job.odb
   Step: ToRotate
   Frame: Increment     10: Step Time =    1.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: PART-1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

            Node        NFORCSO1        NFORCSO2        NFORCSO3        NFORCSO4        NFORCSO5        NFORCSO6
           Label          @Loc 1          @Loc 1          @Loc 1          @Loc 1          @Loc 1          @Loc 1
-----------------------------------------------------------------------------------------------------------------
               1         304.234         129.347         566.682     1.86325E+03    -1.37771E+03    -2.88485E+03
               2         252.211         241.434         540.908     2.12919E+03    -1.84009E+03    -2.76943E+03
               3         111.116         433.202         461.819     2.75336E+03    -2.24543E+03    -2.47613E+03
               4        -98.4720         533.322         341.917     3.51245E+03    -2.55357E+03    -2.04577E+03
               5        -343.805         494.160         211.768     4.25794E+03    -2.74725E+03    -1.46925E+03
               6        -550.897         300.167         96.6074     4.81113E+03    -2.84162E+03        -769.736
               7        -633.173              0.              0.     5.01657E+03    -2.86775E+03              0.
               8        -550.897        -300.167        -96.6074     4.81113E+03    -2.84162E+03         769.736
               9        -343.805        -494.160        -211.768     4.25794E+03    -2.74725E+03     1.46925E+03
              10        -98.4720        -533.322        -341.917     3.51245E+03    -2.55357E+03     2.04577E+03
              11         111.116        -433.202        -461.819     2.75336E+03    -2.24543E+03     2.47613E+03
              12         252.211        -241.434        -540.908     2.12919E+03    -1.84009E+03     2.76943E+03
              13         304.234        -129.347        -566.682     1.86325E+03    -1.37771E+03     2.88485E+03


