t	s	tau	k1	k2
0.9553	428.582	2.805E-03	-1.220E-10	2.545E-02
0.9568	429.4949	2.802E-03	-1.500E-10	2.542E-02
0.9583	430.4077	2.799E-03	-1.499E-10	2.540E-02
0.9598	431.3206	2.797E-03	-1.144E-10	2.537E-02
0.9613	432.2334	2.794E-03	-3.677E-11	2.535E-02
0.9627	433.1463	2.791E-03	8.944E-11	2.532E-02
0.9642	434.0591	2.788E-03	1.897E-10	2.529E-02
0.9657	434.972	2.785E-03	1.685E-10	2.527E-02
0.9672	435.8848	2.782E-03	1.250E-10	2.524E-02
0.9686	436.7977	2.780E-03	6.787E-11	2.522E-02
0.9701	437.7105	2.777E-03	5.141E-12	2.519E-02
0.9716	438.6234	2.774E-03	-5.527E-11	2.516E-02
0.9731	439.5362	2.771E-03	-1.057E-10	2.514E-02
0.9745	440.4491	2.768E-03	-1.389E-10	2.511E-02
0.976	441.3619	2.765E-03	-1.477E-10	2.509E-02
0.9775	442.2747	2.762E-03	-1.253E-10	2.506E-02
0.9789	443.1876	2.760E-03	-6.547E-11	2.504E-02
0.9804	444.1004	2.757E-03	3.801E-11	2.501E-02
0.9819	445.0133	2.754E-03	1.712E-10	2.499E-02
0.9833	445.9261	2.751E-03	1.741E-10	2.496E-02
0.9848	446.839	2.749E-03	1.398E-10	2.494E-02
0.9862	447.7518	2.746E-03	8.961E-11	2.491E-02
0.9877	448.6647	2.743E-03	3.101E-11	2.489E-02
0.9891	449.5775	2.740E-03	-2.854E-11	2.486E-02
0.9906	450.4904	2.738E-03	-8.188E-11	2.484E-02
0.992	451.4032	2.735E-03	-1.221E-10	2.481E-02
0.9935	452.3161	2.732E-03	-1.424E-10	2.479E-02
0.9949	453.2289	2.729E-03	-1.365E-10	2.476E-02
0.9964	454.1418	2.726E-03	-9.836E-11	2.474E-02
0.9978	455.0546	2.724E-03	-2.206E-11	2.471E-02
0.9993	455.9675	2.721E-03	9.784E-11	2.469E-02
