 "Disp"	"F1"	"F2"	"F3"
17.3	968.38	1868.97	2661.96
17.400000000000002	968.18	1868.77	2684.16
17.5	968.38	1869.6	2708.08
17.6	969.58	1871.17	2723.16
17.7	969.38	1872.97	2738.56
17.8	970.18	1874.37	2767.76
17.900000000000002	971.18	1874.57	2779.96
18.0	971.03	1877.17	2794.96
18.1	969.38	1877.77	2812.73
18.2	972.78	1879.77	2828.96
18.3	969.18	1878.57	2852.75
18.400000000000002	972.73	1878.97	2860.99
18.5	973.38	1877.8	2867.15
18.6	973.42	1881.97	2886.75
18.7	973.78	1880.28	2903.35
18.8	973.38	1879.57	2907.15
18.900000000000002	970.58	1881.57	2926.87
19.0	972.98	1878.82	2939.35
19.1	973.38	1880.28	2950.57
19.200000000000003	971.58	1879.97	2972.35
19.3	972.49	1881.57	2976.15
19.400000000000002	972.78	1881.97	2987.35
19.5	972.78	1881.17	3010.95
19.6	973.18	1880.57	3021.95
19.700000000000003	969.38	1882.17	3020.55
19.8	969.49	1883.57	3034.95
19.900000000000002	967.48	1885.17	3044.48
20.0	967.58	1885.17	3057.75
20.1	967.38	1879.97	3057.75
20.200000000000003	971.38	1881.77	3062.95
20.3	971.78	1883.66	3084.75
20.400000000000002	970.58	1883.57	3085.19
20.5	967.98	1884.77	3097.55
20.6	969.58	1886.26	3095.55
20.700000000000003	969.78	1887.37	3093.15
20.8	970.38	1886.17	3104.08
20.900000000000002	969.98	1885.97	3104.6
21.0	969.98	1885.17	3109.46
21.1	968.82	1885.97	3116.58
21.200000000000003	971.78	1885.77	3125.09
21.3	969.98	1887.17	3129.84
21.400000000000002	968.18	1886.77	3135.15
21.5	966.98	1886.17	3136.75
21.6	968.38	1885.97	3143.95
21.700000000000003	969.38	1885.57	3149.7
21.8	970.78	1885.37	3142.88
21.900000000000002	969.58	1887.17	3144.65
22.0	970.05	1886.17	3144.95
22.1	969.18	1884.97	3155.35
22.200000000000003	967.02	1886.57	3145.95
22.3	967.45	1888.17	3147.95
22.400000000000002	966.92	1887.37	3148.85
22.5	968.58	1887.57	3158.75
22.6	968.18	1887.37	3151.95
22.700000000000003	968.58	1887.17	3153.95
22.8	968.38	1886.97	3156.15
22.900000000000002	967.58	1886.77	3157.15
23.0	964.78	1882.97	3157.5
23.1	965.58	1884.97	3156.15
23.200000000000003	970.98	1887.57	3154.52
23.3	970.38	1887.97	3160.52
23.400000000000002	969.18	1885.97	3155.55
23.5	966.58	1886.37	3155.55
23.6	966.87	1886.57	3157.02
23.700000000000003	970.38	1887.82	3160.65
23.8	970.38	1886.17	3159.35
23.900000000000002	970.38	1887.17	3164.55
24.0	969.03	1886.37	3152.95
24.1	967.58	1885.92	3157.35
24.200000000000003	965.93	1884.12	3151.55
24.3	965.98	1885.22	3146.86
24.400000000000002	965.38	1888.47	3149.74
24.5	962.78	1885.57	3153.15
24.6	961.61	1884.17	3150.75
24.700000000000003	961.83	1883.02	3145.04
24.8	962.23	1885.87	3140.35
24.900000000000002	962.93	1885.92	3144.59
25.0	961.98	1885.97	3149.95
25.1	961.98	1883.97	3148.15
25.200000000000003	961.18	1884.92	3135.95
25.3	960.98	1884.97	3138.95
25.400000000000002	958.33	1883.32	3138.41
25.5	956.18	1882.37	3133.15
25.6	954.38	1884.12	3136.55
25.700000000000003	952.78	1885.82	3134.55
25.8	952.18	1882.62	3138.55
25.900000000000002	950.18	1881.17	3144.75
26.0	950.78	1881.82	3130.95
26.1	947.98	1881.97	3131.35
26.200000000000003	947.78	1881.57	3135.15
26.3	944.38	1878.52	3136.15
26.400000000000002	941.59	1878.32	3126.15
26.5	943.78	1879.97	3127.95
26.6	944.18	1879.26	3133.35
26.700000000000003	940.68	1877.77	3133.95
26.8	939.99	1881.98	3122.75
26.900000000000002	936.79	1883.17	3121.95
27.0	937.19	1882.77	3125.55
27.1	936.59	1880.17	3133.95
27.200000000000003	934.59	1881.77	3121.55
27.3	933.19	1883.37	3119.15
27.400000000000002	932.19	1882.37	3121.15
27.5	931.99	1877.7	3122.95
27.6	930.19	1876.77	3118.15
27.700000000000003	930.79	1878.21	3112.75
27.8	926.39	1877.97	3115.95
27.900000000000002	925.19	1876.17	3118.95
28.0	923.99	1877.17	3118.75
28.1	922.19	1879.57	3117.15
28.200000000000003	921.59	1878.97	3115.35
28.3	920.59	1878.37	3115.95
28.400000000000002	nan	1876.57	3114.75
28.5	nan	1879.17	3104.75
28.6	nan	1877.77	3108.75
28.700000000000003	nan	1878.17	3109.95
28.8	nan	1876.05	3117.95
28.900000000000002	nan	1876.97	3109.75
29.0	nan	1878.97	3105.55
29.1	nan	1879.13	3105.15
29.200000000000003	nan	1878.57	3109.15
29.3	nan	1877.77	3093.55
29.400000000000002	nan	1880.37	3098.75
29.5	nan	1878.97	3104.15
29.6	nan	1878.57	3107.95
29.700000000000003	nan	1877.97	3090.75
29.8	nan	1881.17	3090.75
29.900000000000002	nan	1881.13	3092.21
30.0	nan	1879.7	3098.35
30.1	nan	1879.17	3089.54
30.200000000000003	nan	1881.77	3085.35
30.3	nan	1881.57	3087.35
30.400000000000002	nan	1880.17	3091.21
30.5	nan	1881.37	3084.48
30.6	nan	1880.37	3074.95
30.700000000000003	nan	1881.17	3069.39
30.8	nan	1880.7	3075.86
30.900000000000002	nan	1881.17	3078.35
31.0	nan	1884.73	nan
31.1	nan	1886.73	nan
31.200000000000003	nan	1885.66	nan
31.3	nan	1883.97	nan
31.400000000000002	nan	1887.97	nan
31.5	nan	1890.57	nan
31.6	nan	1890.57	nan
31.700000000000003	nan	1890.77	nan
31.8	nan	1890.57	nan
31.900000000000002	nan	1892.77	nan
32.0	nan	1892.77	nan
32.1	nan	1893.97	nan
32.2	nan	1894.97	nan
32.300000000000004	nan	1893.37	nan
32.4	nan	1891.77	nan
32.5	nan	1893.37	nan
32.6	nan	1895.67	nan
32.7	nan	1895.37	nan
32.800000000000004	nan	1897.17	nan
32.9	nan	1898.37	nan
33.0	nan	1900.37	nan
33.1	nan	1898.57	nan
33.2	nan	1902.57	nan
33.300000000000004	nan	1902.37	nan
33.4	nan	1900.77	nan
33.5	nan	1903.37	nan
33.6	nan	1903.97	nan
33.7	nan	1907.25	nan
