t	s	tau	k1	k2
0.9553	428.582	1.262E-07	-2.538E-02	-1.858E-03
0.9568	429.4949	1.259E-07	-2.535E-02	-1.921E-03
0.9583	430.4077	1.256E-07	-2.532E-02	-1.984E-03
0.9598	431.3206	1.253E-07	-2.529E-02	-2.047E-03
0.9613	432.2334	1.251E-07	-2.526E-02	-2.109E-03
0.9627	433.1463	1.250E-07	-2.523E-02	-2.171E-03
0.9642	434.0591	1.240E-07	-2.520E-02	-2.233E-03
0.9657	434.972	1.235E-07	-2.516E-02	-2.295E-03
0.9672	435.8848	1.231E-07	-2.513E-02	-2.356E-03
0.9686	436.7977	1.228E-07	-2.510E-02	-2.418E-03
0.9701	437.7105	1.224E-07	-2.507E-02	-2.479E-03
0.9716	438.6234	1.220E-07	-2.504E-02	-2.540E-03
0.9731	439.5362	1.217E-07	-2.500E-02	-2.600E-03
0.9745	440.4491	1.214E-07	-2.497E-02	-2.661E-03
0.976	441.3619	1.211E-07	-2.494E-02	-2.721E-03
0.9775	442.2747	1.208E-07	-2.491E-02	-2.781E-03
0.9789	443.1876	1.207E-07	-2.488E-02	-2.841E-03
0.9804	444.1004	1.206E-07	-2.484E-02	-2.901E-03
0.9819	445.0133	1.200E-07	-2.481E-02	-2.960E-03
0.9833	445.9261	1.191E-07	-2.478E-02	-3.020E-03
0.9848	446.839	1.187E-07	-2.475E-02	-3.079E-03
0.9862	447.7518	1.183E-07	-2.471E-02	-3.138E-03
0.9877	448.6647	1.180E-07	-2.468E-02	-3.196E-03
0.9891	449.5775	1.176E-07	-2.465E-02	-3.255E-03
0.9906	450.4904	1.173E-07	-2.461E-02	-3.313E-03
0.992	451.4032	1.170E-07	-2.458E-02	-3.371E-03
0.9935	452.3161	1.167E-07	-2.455E-02	-3.429E-03
0.9949	453.2289	1.165E-07	-2.451E-02	-3.487E-03
0.9964	454.1418	1.164E-07	-2.448E-02	-3.544E-03
0.9978	455.0546	1.164E-07	-2.445E-02	-3.601E-03
0.9993	455.9675	1.165E-07	-2.441E-02	-3.659E-03
