"Disp"	"F1"	"F2"	"F3"	"F4"	"F5"	"F6"	"F7"	"F8"	"F9"	"F10"	"F11"	"F12"	"F13"	"F14"	"F15"
19.5	0.344389	0.77908	0.442511	0.964064	0.787931	0.723278	0.608945	0.707744	0.738812	0.974312	1.344029	0.720171	0.621373	0.917146	0.76491
20.0	0.361204	0.807105	0.459315	0.990204	0.809092	0.750618	0.633179	0.736948	0.77423	1.006624	1.375719	0.748754	0.648092	0.949458	0.793493
20.5	0.375528	0.828279	0.479854	1.020078	0.839588	0.779201	0.660519	0.768638	0.802814	1.040178	1.408031	0.773609	0.677296	0.979905	0.820833
21.0	0.392342	0.853812	0.504126	1.04684	0.86635	0.807785	0.687238	0.799085	0.831397	1.071868	1.443449	0.80592	0.705879	1.009109	0.851281
21.5	0.411025	0.879968	0.522798	1.072358	0.891246	0.834504	0.712715	0.830154	0.862465	1.104801	1.479488	0.835746	0.734463	1.042042	0.885456
22.0	0.428463	0.901765	0.543959	1.095386	0.917386	0.868058	0.743162	0.861223	0.888563	1.137733	1.512421	0.866194	0.768638	1.078082	0.914661
22.5	0.447769	0.927921	0.566364	1.124015	0.942281	0.896019	0.771124	0.891048	0.927088	1.17253	1.548461	0.890427	0.7966	1.111014	0.945108
23.0	0.464583	0.959059	0.58628	1.155134	0.966553	0.92336	0.797843	0.925224	0.954428	1.206706	1.583258	0.920874	0.827668	1.142704	0.974934
23.5	0.483889	0.982724	0.611798	1.180652	0.998295	0.951322	0.82829	0.953807	0.986119	1.242124	1.619297	0.9507	0.853766	1.173773	1.002896
24.0	0.503195	1.007635	0.631714	1.208036	1.026302	0.979905	0.855009	0.986119	1.019051	1.273193	1.65658	0.986119	0.885456	1.20422	1.031479
24.5	0.521255	1.032546	0.652875	1.235421	1.051819	1.007245	0.884213	1.016566	1.05012	1.306126	1.687648	1.01408	0.914661	1.243988	1.070625
25.0	0.538692	1.058079	0.675903	1.263428	1.078581	1.042663	0.915903	1.05012	1.082431	1.340301	1.726174	1.044528	0.953186	1.275678	1.102315
25.5	0.558621	1.082367	0.700798	1.293302	1.104721	1.073111	0.943865	1.079946	1.1135	1.376341	1.759106	1.075596	0.98239	1.306747	1.13152
26.0	0.576058	1.114128	0.725071	1.322554	1.130239	1.103558	0.974312	1.111014	1.144569	1.409895	1.795767	1.102937	1.011595	1.340301	1.163831
26.5	0.597855	1.140907	0.745609	1.349938	1.162603	1.132763	1.00476	1.147054	1.17688	1.444692	1.832428	1.135869	1.043906	1.370748	1.191172
27.0	0.617161	1.16644	0.76677	1.377945	1.188742	1.163831	1.037692	1.179987	1.207949	1.480731	1.866604	1.173773	1.073111	1.404924	1.230318
27.5	0.634598	1.192597	0.792287	1.40284	1.215505	1.193657	1.065654	1.213541	1.241503	1.514285	1.904507	1.202356	1.104801	1.440342	1.263872
28.0	0.654527	1.216884	0.813448	1.437071	1.242267	1.22659	1.09983	1.248338	1.270707	1.548461	1.938062	1.233425	1.145811	1.472653	1.291834
28.5	0.676946	1.244909	0.838344	1.461967	1.269029	1.254552	1.127792	1.280649	1.308611	1.582015	1.974723	1.263872	1.173152	1.5118	1.326009
