N	E	E1	E2	E1/E0	E2/E0	|1-E1/E0|(percent)	|1-E2/E0|(percent)
2	0.1887	0.0914	0.6645	0.4844	3.5224	51.5637	252.2399
3	0.1887	0.1413	0.2688	0.7489	1.4247	25.1076	42.4735
4	0.1887	0.1592	0.2405	0.8438	1.2746	15.6153	27.4632
5	0.1887	0.169	0.2201	0.8959	1.1666	10.4139	16.6582
6	0.1887	0.1747	0.2102	0.9258	1.1142	7.4157	11.4173
7	0.1887	0.1782	0.2043	0.9447	1.083	5.5337	8.3037
8	0.1887	0.1806	0.2006	0.9572	1.0632	4.2815	6.3163
9	0.1887	0.1822	0.198	0.9659	1.0497	3.4082	4.9676
10	0.1887	0.1834	0.1962	0.9722	1.0401	2.7761	4.0099
11	0.1887	0.1843	0.1949	0.977	1.033	2.3043	3.305
12	0.1887	0.185	0.1939	0.9806	1.0277	1.9431	2.771
13	0.1887	0.1855	0.1931	0.9834	1.0236	1.6605	2.3567
14	0.1887	0.186	0.1925	0.9856	1.0203	1.4354	2.0288
15	0.1887	0.1863	0.192	0.9875	1.0176	1.2532	1.7647
16	0.1887	0.1866	0.1916	0.989	1.0155	1.1038	1.5489
17	0.1887	0.1868	0.1912	0.9902	1.0137	0.9796	1.3703
18	0.1887	0.187	0.191	0.9912	1.0122	0.8754	1.2208
19	0.1887	0.1872	0.1907	0.9921	1.0109	0.787	1.0944
20	0.1887	0.1873	0.1905	0.9929	1.0099	0.7115	0.9866
21	0.1887	0.1874	0.1903	0.9935	1.0089	0.6464	0.8938
22	0.1887	0.1875	0.1902	0.9941	1.0081	0.59	0.8135
23	0.1887	0.1876	0.1901	0.9946	1.0074	0.5407	0.7434
24	0.1887	0.1877	0.1899	0.995	1.0068	0.4974	0.6819
25	0.1887	0.1878	0.1898	0.9954	1.0063	0.4592	0.6277
26	0.1887	0.1879	0.1898	0.9957	1.0058	0.4252	0.5797
27	0.1887	0.1879	0.1897	0.9961	1.0054	0.395	0.5369
28	0.1887	0.188	0.1896	0.9963	1.005	0.3679	0.4986
29	0.1887	0.188	0.1895	0.9966	1.0046	0.3436	0.4642
30	0.1887	0.1881	0.1895	0.9968	1.0043	0.3217	0.4332
31	0.1887	0.1881	0.1894	0.997	1.0041	0.3018	0.4051
32	0.1887	0.1881	0.1894	0.9972	1.0038	0.2838	0.3797
33	0.1887	0.1882	0.1893	0.9973	1.0036	0.2673	0.3565
34	0.1887	0.1882	0.1893	0.9975	1.0034	0.2523	0.3354
35	0.1887	0.1882	0.1893	0.9976	1.0032	0.2386	0.316
36	0.1887	0.1882	0.1892	0.9977	1.003	0.226	0.2982
37	0.1887	0.1883	0.1892	0.9979	1.0028	0.2144	0.2819
38	0.1887	0.1883	0.1892	0.998	1.0027	0.2037	0.2668
39	0.1887	0.1883	0.1891	0.9981	1.0025	0.1938	0.2529
40	0.1887	0.1883	0.1891	0.9982	1.0024	0.1846	0.24
41	0.1887	0.1883	0.1891	0.9982	1.0023	0.1761	0.228
42	0.1887	0.1883	0.1891	0.9983	1.0022	0.1682	0.2169
43	0.1887	0.1884	0.1891	0.9984	1.0021	0.1609	0.2066
44	0.1887	0.1884	0.189	0.9985	1.002	0.154	0.1969
45	0.1887	0.1884	0.189	0.9985	1.0019	0.1476	0.1879
46	0.1887	0.1884	0.189	0.9986	1.0018	0.1416	0.1795
47	0.1887	0.1884	0.189	0.9986	1.0017	0.136	0.1716
48	0.1887	0.1884	0.189	0.9987	1.0016	0.1308	0.1641
49	0.1887	0.1884	0.189	0.9987	1.0016	0.1258	0.1572
50	0.1887	0.1884	0.1889	0.9988	1.0015	0.1211	0.1506
