N	E	E1	E2	E1/E0	E2/E0	|1-E1/E0|(percent)	|1-E2/E0|(percent)
2	0.3194	0.0	0.0	0.0	0.0	100.0	100.0
3	0.3194	0.2146	0.7216	0.6718	2.259	32.8197	125.8973
4	0.3194	0.2538	0.5852	0.7944	1.8321	20.5588	83.2133
5	0.3194	0.2752	0.4536	0.8617	1.42	13.8328	42.0005
6	0.3194	0.2876	0.408	0.9003	1.2773	9.9675	27.7262
7	0.3194	0.2955	0.3817	0.9251	1.195	7.4892	19.502
8	0.3194	0.3008	0.3659	0.9418	1.1456	5.8235	14.5644
9	0.3194	0.3046	0.3556	0.9535	1.1131	4.6518	11.3108
10	0.3194	0.3073	0.3483	0.962	1.0905	3.7983	9.0509
11	0.3194	0.3093	0.3431	0.9684	1.0741	3.1583	7.4133
12	0.3194	0.3109	0.3392	0.9733	1.0619	2.6665	6.1868
13	0.3194	0.3121	0.3362	0.9772	1.0524	2.2808	5.2436
14	0.3194	0.3131	0.3338	0.9803	1.045	1.9727	4.502
15	0.3194	0.3139	0.3319	0.9828	1.0391	1.723	3.9082
16	0.3194	0.3146	0.3304	0.9848	1.0343	1.5178	3.4251
17	0.3194	0.3151	0.3291	0.9865	1.0303	1.3471	3.0267
18	0.3194	0.3156	0.328	0.988	1.0269	1.2037	2.6941
19	0.3194	0.316	0.3271	0.9892	1.0241	1.082	2.4137
20	0.3194	0.3163	0.3264	0.9902	1.0217	0.9779	2.1749
21	0.3194	0.3166	0.3257	0.9911	1.0197	0.8882	1.97
22	0.3194	0.3168	0.3252	0.9919	1.0179	0.8103	1.7927
23	0.3194	0.3171	0.3247	0.9926	1.0164	0.7422	1.6384
24	0.3194	0.3172	0.3242	0.9932	1.015	0.6824	1.5031
25	0.3194	0.3174	0.3238	0.9937	1.0138	0.6296	1.3839
26	0.3194	0.3176	0.3235	0.9942	1.0128	0.5827	1.2784
27	0.3194	0.3177	0.3232	0.9946	1.0118	0.5409	1.1845
28	0.3194	0.3178	0.3229	0.995	1.011	0.5035	1.1005
29	0.3194	0.3179	0.3227	0.9953	1.0103	0.4698	1.0251
30	0.3194	0.318	0.3225	0.9956	1.0096	0.4395	0.9572
31	0.3194	0.3181	0.3223	0.9959	1.009	0.412	0.8958
32	0.3194	0.3182	0.3221	0.9961	1.0084	0.387	0.8402
33	0.3194	0.3183	0.3219	0.9964	1.0079	0.3643	0.7895
34	0.3194	0.3183	0.3218	0.9966	1.0074	0.3435	0.7432
35	0.3194	0.3184	0.3217	0.9968	1.007	0.3245	0.7009
36	0.3194	0.3184	0.3215	0.9969	1.0066	0.3071	0.6621
37	0.3194	0.3185	0.3214	0.9971	1.0063	0.291	0.6264
38	0.3194	0.3185	0.3213	0.9972	1.0059	0.2762	0.5935
39	0.3194	0.3186	0.3212	0.9974	1.0056	0.2625	0.5631
40	0.3194	0.3186	0.3211	0.9975	1.0053	0.2498	0.535
41	0.3194	0.3187	0.3211	0.9976	1.0051	0.238	0.5089
42	0.3194	0.3187	0.321	0.9977	1.0048	0.2271	0.4846
43	0.3194	0.3187	0.3209	0.9978	1.0046	0.2169	0.4621
44	0.3194	0.3188	0.3208	0.9979	1.0044	0.2074	0.441
45	0.3194	0.3188	0.3208	0.998	1.0042	0.1985	0.4214
46	0.3194	0.3188	0.3207	0.9981	1.004	0.1902	0.403
47	0.3194	0.3188	0.3207	0.9982	1.0039	0.1824	0.3858
48	0.3194	0.3189	0.3206	0.9982	1.0037	0.1751	0.3696
49	0.3194	0.3189	0.3206	0.9983	1.0035	0.1682	0.3545
50	0.3194	0.3189	0.3205	0.9984	1.0034	0.1618	0.3402
