N	E	E1	E2	E1/E0	E2/E0	|1-E1/E0|(percent)	|1-E2/E0|(percent)
2	0.7718	0.0562	0.0999	0.0729	0.1295	92.7134	87.05
3	0.7718	0.0324	15.7966	0.042	20.4679	95.8048	1946.7891
4	0.7718	0.3859	16.7025	0.5001	21.6416	49.9943	2064.1647
5	0.7718	0.4486	3.348	0.5812	4.3381	41.8793	333.8057
6	0.7718	0.5667	3.5866	0.7343	4.6472	26.5724	364.7228
7	0.7718	0.614	1.7212	0.7955	2.2302	20.4478	123.0181
8	0.7718	0.6465	1.503	0.8377	1.9474	16.2286	94.7405
9	0.7718	0.6703	1.2513	0.8685	1.6213	13.1485	62.1295
10	0.7718	0.6874	1.1446	0.8907	1.4831	10.9298	48.3082
11	0.7718	0.7008	1.0607	0.9081	1.3744	9.1908	37.4411
12	0.7718	0.7112	1.0069	0.9216	1.3047	7.8439	30.466
13	0.7718	0.7196	0.9661	0.9324	1.2518	6.7623	25.1812
14	0.7718	0.7263	0.9358	0.9411	1.2126	5.8885	21.2583
15	0.7718	0.7319	0.9122	0.9483	1.1819	5.1703	18.1917
16	0.7718	0.7365	0.8935	0.9542	1.1577	4.5758	15.7667
17	0.7718	0.7403	0.8783	0.9593	1.1381	4.0749	13.806
18	0.7718	0.7436	0.8659	0.9635	1.122	3.6528	12.197
19	0.7718	0.7464	0.8556	0.9671	1.1086	3.2915	10.8587
20	0.7718	0.7488	0.8469	0.9702	1.0973	2.9812	9.7333
21	0.7718	0.7508	0.8395	0.9729	1.0878	2.7122	8.7768
22	0.7718	0.7527	0.8332	0.9752	1.0796	2.478	7.9566
23	0.7718	0.7542	0.8277	0.9773	1.0725	2.2727	7.2476
24	0.7718	0.7556	0.8229	0.9791	1.0663	2.0919	6.6302
25	0.7718	0.7569	0.8188	0.9807	1.0609	1.9315	6.0897
26	0.7718	0.758	0.8151	0.9821	1.0561	1.7885	5.6137
27	0.7718	0.759	0.8118	0.9834	1.0519	1.6606	5.1919
28	0.7718	0.7598	0.8089	0.9845	1.0482	1.5461	4.8163
29	0.7718	0.7606	0.8064	0.9856	1.0448	1.443	4.4802
30	0.7718	0.7614	0.804	0.9865	1.0418	1.3498	4.1784
31	0.7718	0.762	0.8019	0.9873	1.0391	1.2654	3.9064
32	0.7718	0.7626	0.8	0.9881	1.0366	1.1886	3.6602
33	0.7718	0.7631	0.7983	0.9888	1.0344	1.1186	3.4369
34	0.7718	0.7636	0.7967	0.9895	1.0323	1.0546	3.2333
35	0.7718	0.7641	0.7953	0.99	1.0305	0.9959	3.0476
36	0.7718	0.7645	0.794	0.9906	1.0288	0.9419	2.8774
37	0.7718	0.7649	0.7928	0.9911	1.0272	0.8923	2.7212
38	0.7718	0.7652	0.7917	0.9915	1.0258	0.8464	2.5774
39	0.7718	0.7656	0.7906	0.992	1.0244	0.804	2.4448
40	0.7718	0.7659	0.7897	0.9924	1.0232	0.7647	2.3222
41	0.7718	0.7662	0.7888	0.9927	1.0221	0.7281	2.2086
42	0.7718	0.7664	0.788	0.9931	1.021	0.6943	2.1032
43	0.7718	0.7667	0.7873	0.9934	1.0201	0.6625	2.0053
44	0.7718	0.7669	0.7865	0.9937	1.0191	0.6332	1.9138
45	0.7718	0.7671	0.7859	0.9939	1.0183	0.6052	1.829
46	0.7718	0.7673	0.7853	0.9942	1.0175	0.5801	1.7488
47	0.7718	0.7675	0.7847	0.9945	1.0168	0.5549	1.6752
48	0.7718	0.7677	0.7842	0.9947	1.016	0.5334	1.6042
49	0.7718	0.7678	0.7837	0.9949	1.0154	0.5106	1.54
50	0.7718	0.768	0.7832	0.9951	1.0148	0.492	1.477
