N	E	E1	E2	E1/E0	E2/E0	|1-E1/E0|(percent)	|1-E2/E0|(percent)
2	0.0902	0.0519	0.1102	0.5752	1.2218	42.4751	22.184
3	0.0902	0.0715	0.0954	0.7929	1.0584	20.7089	5.8426
4	0.0902	0.0789	0.0944	0.8754	1.0472	12.4588	4.7241
5	0.0902	0.0828	0.0931	0.9178	1.0324	8.2179	3.2389
6	0.0902	0.0849	0.0923	0.9419	1.0234	5.8057	2.3381
7	0.0902	0.0863	0.0918	0.9569	1.0175	4.3116	1.7548
8	0.0902	0.0872	0.0914	0.9667	1.0136	3.3254	1.3608
9	0.0902	0.0878	0.0912	0.9736	1.0108	2.6417	1.0836
10	0.0902	0.0882	0.091	0.9785	1.0088	2.1487	0.8819
11	0.0902	0.0886	0.0908	0.9822	1.0073	1.7819	0.7308
12	0.0902	0.0888	0.0907	0.985	1.0061	1.5016	0.6149
13	0.0902	0.089	0.0906	0.9872	1.0052	1.2828	0.524
14	0.0902	0.0892	0.0906	0.9889	1.0045	1.1088	0.4515
15	0.0902	0.0893	0.0905	0.9903	1.0039	0.9681	0.3927
16	0.0902	0.0894	0.0905	0.9915	1.0034	0.8527	0.3445
17	0.0902	0.0895	0.0904	0.9924	1.003	0.757	0.3044
18	0.0902	0.0896	0.0904	0.9932	1.0027	0.6767	0.2707
19	0.0902	0.0896	0.0904	0.9939	1.0024	0.6086	0.2421
20	0.0902	0.0897	0.0904	0.9945	1.0022	0.5505	0.2177
21	0.0902	0.0897	0.0904	0.995	1.002	0.5004	0.1967
22	0.0902	0.0898	0.0903	0.9954	1.0018	0.457	0.1784
23	0.0902	0.0898	0.0903	0.9958	1.0016	0.4191	0.1625
24	0.0902	0.0898	0.0903	0.9961	1.0015	0.3858	0.1484
25	0.0902	0.0899	0.0903	0.9964	1.0014	0.3564	0.1361
26	0.0902	0.0899	0.0903	0.9967	1.0013	0.3303	0.1251
27	0.0902	0.0899	0.0903	0.9969	1.0012	0.3071	0.1153
28	0.0902	0.0899	0.0903	0.9971	1.0011	0.2863	0.1065
29	0.0902	0.0899	0.0903	0.9973	1.001	0.2676	0.0986
30	0.0902	0.0899	0.0903	0.9975	1.0009	0.2508	0.0915
31	0.0902	0.09	0.0903	0.9976	1.0009	0.2355	0.0851
32	0.0902	0.09	0.0902	0.9978	1.0008	0.2217	0.0793
33	0.0902	0.09	0.0902	0.9979	1.0007	0.209	0.0739
34	0.0902	0.09	0.0902	0.998	1.0007	0.1975	0.0691
35	0.0902	0.09	0.0902	0.9981	1.0006	0.187	0.0646
36	0.0902	0.09	0.0902	0.9982	1.0006	0.1773	0.0605
37	0.0902	0.09	0.0902	0.9983	1.0006	0.1684	0.0568
38	0.0902	0.09	0.0902	0.9984	1.0005	0.1602	0.0533
39	0.0902	0.09	0.0902	0.9985	1.0005	0.1526	0.0501
40	0.0902	0.09	0.0902	0.9985	1.0005	0.1456	0.0472
41	0.0902	0.09	0.0902	0.9986	1.0004	0.139	0.0444
42	0.0902	0.0901	0.0902	0.9987	1.0004	0.133	0.0418
43	0.0902	0.0901	0.0902	0.9987	1.0004	0.1273	0.0395
44	0.0902	0.0901	0.0902	0.9988	1.0004	0.1221	0.0372
45	0.0902	0.0901	0.0902	0.9988	1.0004	0.1172	0.0351
46	0.0902	0.0901	0.0902	0.9989	1.0003	0.1126	0.0332
47	0.0902	0.0901	0.0902	0.9989	1.0003	0.1083	0.0314
48	0.0902	0.0901	0.0902	0.999	1.0003	0.1042	0.0297
49	0.0902	0.0901	0.0902	0.999	1.0003	0.1004	0.028
50	0.0902	0.0901	0.0902	0.999	1.0003	0.0968	0.0265
