N	E	E1	E2	E1/E0	E2/E0	|1-E1/E0|(percent)	|1-E2/E0|(percent)
2	0.3753	0.1175	6.0092	0.3131	16.0107	68.6872	1501.0747
3	0.3753	0.2326	1.06	0.6198	2.8242	38.0212	182.4183
4	0.3753	0.2887	0.8578	0.7693	2.2856	23.0712	128.5587
5	0.3753	0.3169	0.5889	0.8444	1.569	15.5571	56.8983
6	0.3753	0.333	0.5148	0.8873	1.3716	11.2729	37.1613
7	0.3753	0.3434	0.4715	0.915	1.2562	8.4959	25.6171
8	0.3753	0.3505	0.4465	0.9338	1.1897	6.6239	18.9697
9	0.3753	0.3554	0.4303	0.947	1.1464	5.3008	14.6376
10	0.3753	0.3591	0.4191	0.9567	1.1166	4.3343	11.6632
11	0.3753	0.3618	0.4111	0.9639	1.0952	3.6077	9.5232
12	0.3753	0.3639	0.4051	0.9695	1.0793	3.0484	7.9294
13	0.3753	0.3655	0.4005	0.9739	1.0671	2.6089	6.7086
14	0.3753	0.3669	0.3969	0.9774	1.0575	2.2576	5.752
15	0.3753	0.3679	0.394	0.9803	1.0499	1.9725	4.9878
16	0.3753	0.3688	0.3917	0.9826	1.0437	1.7381	4.3674
17	0.3753	0.3695	0.3898	0.9846	1.0386	1.5429	3.8567
18	0.3753	0.3702	0.3882	0.9862	1.0343	1.3789	3.431
19	0.3753	0.3707	0.3869	0.9876	1.0307	1.2396	3.0724
20	0.3753	0.3711	0.3857	0.9888	1.0277	1.1205	2.7674
21	0.3753	0.3715	0.3847	0.9898	1.0251	1.0177	2.5058
22	0.3753	0.3718	0.3839	0.9907	1.0228	0.9285	2.2797
23	0.3753	0.3721	0.3831	0.9915	1.0208	0.8505	2.083
24	0.3753	0.3724	0.3825	0.9922	1.0191	0.782	1.9106
25	0.3753	0.3726	0.3819	0.9928	1.0176	0.7215	1.7589
26	0.3753	0.3728	0.3814	0.9933	1.0162	0.6677	1.6246
27	0.3753	0.373	0.381	0.9938	1.0151	0.6197	1.5051
28	0.3753	0.3732	0.3806	0.9942	1.014	0.5768	1.3983
29	0.3753	0.3733	0.3802	0.9946	1.013	0.5382	1.3025
30	0.3753	0.3734	0.3799	0.995	1.0122	0.5033	1.2162
31	0.3753	0.3736	0.3796	0.9953	1.0114	0.4718	1.1382
32	0.3753	0.3737	0.3793	0.9956	1.0107	0.4432	1.0674
33	0.3753	0.3738	0.3791	0.9958	1.01	0.4171	1.0031
34	0.3753	0.3738	0.3789	0.9961	1.0094	0.3933	0.9443
35	0.3753	0.3739	0.3787	0.9963	1.0089	0.3714	0.8906
36	0.3753	0.374	0.3785	0.9965	1.0084	0.3514	0.8413
37	0.3753	0.3741	0.3783	0.9967	1.008	0.3329	0.796
38	0.3753	0.3741	0.3782	0.9968	1.0075	0.3159	0.7542
39	0.3753	0.3742	0.378	0.997	1.0072	0.3002	0.7157
40	0.3753	0.3743	0.3779	0.9971	1.0068	0.2856	0.68
41	0.3753	0.3743	0.3778	0.9973	1.0065	0.2721	0.6469
42	0.3753	0.3744	0.3776	0.9974	1.0062	0.2596	0.6161
43	0.3753	0.3744	0.3775	0.9975	1.0059	0.2479	0.5875
44	0.3753	0.3744	0.3774	0.9976	1.0056	0.2369	0.5608
45	0.3753	0.3745	0.3773	0.9977	1.0054	0.2267	0.5359
46	0.3753	0.3745	0.3772	0.9978	1.0051	0.2172	0.5125
47	0.3753	0.3745	0.3772	0.9979	1.0049	0.2083	0.4907
48	0.3753	0.3746	0.3771	0.998	1.0047	0.1999	0.4702
49	0.3753	0.3746	0.377	0.9981	1.0045	0.1919	0.4511
50	0.3753	0.3746	0.377	0.9982	1.0043	0.1847	0.4329
