N	E	E1	E2	E1/E0	E2/E0	|1-E1/E0|(percent)	|1-E2/E0|(percent)
2	0.6923	0.0697	0.1511	0.1007	0.2183	89.9327	78.1741
3	0.6923	0.0649	9.1923	0.0937	13.2783	90.6293	1227.8262
4	0.6923	0.3904	10065.2652	0.564	14539.2727	43.6049	1453827.2681
5	0.6923	0.4644	2.3641	0.6708	3.4149	32.9178	241.4896
6	0.6923	0.536	2.0953	0.7743	3.0267	22.5705	202.6689
7	0.6923	0.573	1.3313	0.8278	1.9231	17.2249	92.3119
8	0.6923	0.5975	1.1629	0.8631	1.6799	13.6867	67.9859
9	0.6923	0.6156	1.0226	0.8893	1.4772	11.074	47.7206
10	0.6923	0.6288	0.9486	0.9083	1.3703	9.1674	37.0319
11	0.6923	0.639	0.8949	0.9231	1.2927	7.6939	29.2692
12	0.6923	0.6469	0.8579	0.9345	1.2392	6.5489	23.9236
13	0.6923	0.6533	0.8302	0.9436	1.1992	5.6361	19.9216
14	0.6923	0.6584	0.8092	0.951	1.1688	4.8995	16.884
15	0.6923	0.6625	0.7927	0.957	1.145	4.2963	14.5036
16	0.6923	0.666	0.7795	0.962	1.126	3.7977	12.6047
17	0.6923	0.6689	0.7689	0.9662	1.1106	3.379	11.063
18	0.6923	0.6713	0.7601	0.9697	1.0979	3.0263	9.7922
19	0.6923	0.6734	0.7527	0.9727	1.0873	2.7251	8.7317
20	0.6923	0.6752	0.7465	0.9753	1.0784	2.4666	7.8371
21	0.6923	0.6768	0.7413	0.9776	1.0708	2.2429	7.075
22	0.6923	0.6781	0.7367	0.9795	1.0642	2.0481	6.4202
23	0.6923	0.6793	0.7328	0.9812	1.0585	1.8777	5.8531
24	0.6923	0.6803	0.7294	0.9827	1.0536	1.7276	5.3585
25	0.6923	0.6812	0.7264	0.9841	1.0492	1.5947	4.9248
26	0.6923	0.6821	0.7237	0.9852	1.0454	1.4762	4.5425
27	0.6923	0.6828	0.7214	0.9863	1.042	1.3703	4.2033
28	0.6923	0.6835	0.7193	0.9872	1.039	1.2755	3.9009
29	0.6923	0.684	0.7174	0.9881	1.0363	1.1902	3.6302
30	0.6923	0.6846	0.7157	0.9889	1.0339	1.1132	3.3869
31	0.6923	0.6851	0.7142	0.9896	1.0317	1.0434	3.1674
32	0.6923	0.6855	0.7128	0.9902	1.0297	0.98	2.9687
33	0.6923	0.6859	0.7116	0.9908	1.0279	0.9221	2.7883
34	0.6923	0.6863	0.7104	0.9913	1.0262	0.8692	2.6238
35	0.6923	0.6866	0.7094	0.9918	1.0247	0.8208	2.4736
36	0.6923	0.6869	0.7085	0.9922	1.0234	0.7762	2.336
37	0.6923	0.6872	0.7076	0.9926	1.0221	0.7352	2.2096
38	0.6923	0.6875	0.7068	0.993	1.0209	0.6974	2.0932
39	0.6923	0.6877	0.706	0.9934	1.0199	0.6624	1.9858
40	0.6923	0.6879	0.7053	0.9937	1.0189	0.6299	1.8865
41	0.6923	0.6881	0.7047	0.994	1.0179	0.5998	1.7945
42	0.6923	0.6883	0.7041	0.9943	1.0171	0.5718	1.7091
43	0.6923	0.6885	0.7036	0.9945	1.0163	0.5457	1.6296
44	0.6923	0.6887	0.703	0.9948	1.0156	0.5215	1.5555
45	0.6923	0.6888	0.7026	0.995	1.0149	0.4985	1.4866
46	0.6923	0.689	0.7021	0.9952	1.0142	0.4776	1.4218
47	0.6923	0.6891	0.7017	0.9954	1.0136	0.4571	1.3618
48	0.6923	0.6892	0.7013	0.9956	1.013	0.4391	1.3044
49	0.6923	0.6894	0.7009	0.9958	1.0125	0.4206	1.2521
50	0.6923	0.6895	0.7006	0.996	1.012	0.405	1.2012
