N	E	E1	E2	E1/E0	E2/E0	|1-E1/E0|(percent)	|1-E2/E0|(percent)
2	0.5705	0.0931	0.3386	0.1632	0.5935	83.6796	40.6483
3	0.5705	0.1565	3.9877	0.2743	6.9899	72.5692	598.9916
4	0.5705	0.3739	6.722	0.6553	11.7827	34.4659	1078.2674
5	0.5705	0.4343	1.3877	0.7613	2.4324	23.865	143.2358
6	0.5705	0.4716	1.1327	0.8267	1.9855	17.3335	98.553
7	0.5705	0.4954	0.9017	0.8683	1.5806	13.1705	58.0618
8	0.5705	0.5112	0.8102	0.8961	1.4201	10.3938	42.0133
9	0.5705	0.5227	0.7486	0.9162	1.3122	8.3791	31.2194
10	0.5705	0.5312	0.7099	0.931	1.2443	6.8968	24.4349
11	0.5705	0.5376	0.6826	0.9423	1.1965	5.7681	19.6531
12	0.5705	0.5426	0.6629	0.9511	1.1619	4.8929	16.1946
13	0.5705	0.5465	0.648	0.958	1.1359	4.2001	13.5909
14	0.5705	0.5497	0.6366	0.9636	1.1158	3.6432	11.5805
15	0.5705	0.5523	0.6275	0.9681	1.0999	3.1892	9.9924
16	0.5705	0.5544	0.6202	0.9719	1.0871	2.8147	8.7146
17	0.5705	0.5562	0.6143	0.975	1.0767	2.5014	7.6707
18	0.5705	0.5577	0.6093	0.9776	1.0681	2.2378	6.8057
19	0.5705	0.559	0.6052	0.9799	1.0608	2.0134	6.0807
20	0.5705	0.5601	0.6017	0.9818	1.0547	1.821	5.4669
21	0.5705	0.5611	0.5987	0.9835	1.0494	1.6548	4.9424
22	0.5705	0.5619	0.5961	0.9849	1.0449	1.5102	4.4904
23	0.5705	0.5626	0.5939	0.9862	1.041	1.3838	4.0982
24	0.5705	0.5632	0.5919	0.9873	1.0376	1.2727	3.7554
25	0.5705	0.5638	0.5902	0.9883	1.0345	1.1743	3.4543
26	0.5705	0.5643	0.5887	0.9891	1.0319	1.0867	3.1883
27	0.5705	0.5647	0.5873	0.9899	1.0295	1.0086	2.9521
28	0.5705	0.5651	0.5861	0.9906	1.0274	0.9386	2.7412
29	0.5705	0.5655	0.5851	0.9912	1.0255	0.8757	2.5522
30	0.5705	0.5658	0.5841	0.9918	1.0238	0.8189	2.3822
31	0.5705	0.5661	0.5832	0.9923	1.0223	0.7674	2.2288
32	0.5705	0.5664	0.5824	0.9928	1.0209	0.7207	2.0897
33	0.5705	0.5666	0.5817	0.9932	1.0196	0.6781	1.9633
34	0.5705	0.5669	0.581	0.9936	1.0185	0.6391	1.848
35	0.5705	0.5671	0.5804	0.994	1.0174	0.6034	1.7427
36	0.5705	0.5672	0.5799	0.9943	1.0165	0.5707	1.6461
37	0.5705	0.5674	0.5794	0.9946	1.0156	0.5405	1.5573
38	0.5705	0.5676	0.5789	0.9949	1.0148	0.5127	1.4756
39	0.5705	0.5677	0.5785	0.9951	1.014	0.4869	1.4001
40	0.5705	0.5679	0.5781	0.9954	1.0133	0.4631	1.3303
41	0.5705	0.568	0.5777	0.9956	1.0127	0.441	1.2656
42	0.5705	0.5681	0.5774	0.9958	1.0121	0.4204	1.2055
43	0.5705	0.5682	0.5771	0.996	1.0115	0.4012	1.1496
44	0.5705	0.5683	0.5768	0.9962	1.011	0.3834	1.0975
45	0.5705	0.5684	0.5765	0.9963	1.0105	0.3666	1.0489
46	0.5705	0.5685	0.5762	0.9965	1.01	0.3511	1.0033
47	0.5705	0.5686	0.576	0.9966	1.0096	0.3362	0.9609
48	0.5705	0.5687	0.5758	0.9968	1.0092	0.3228	0.9207
49	0.5705	0.5687	0.5755	0.9969	1.0088	0.3094	0.8836
50	0.5705	0.5688	0.5753	0.997	1.0085	0.2978	0.8479
