N	E	E1	E2	E1/E0	E2/E0	|1-E1/E0|(percent)	|1-E2/E0|(percent)
2	0.4413	0.1134	1.3611	0.257	3.0845	74.3039	208.4476
3	0.4413	0.2339	1.6572	0.5299	3.7554	47.0069	275.5432
4	0.4413	0.3246	1.4338	0.7356	3.2491	26.435	224.9076
5	0.4413	0.3624	0.7901	0.8212	1.7905	17.8782	79.053
6	0.4413	0.3838	0.6684	0.8697	1.5147	13.0312	51.4656
7	0.4413	0.3978	0.5927	0.9015	1.3432	9.8539	34.3167
8	0.4413	0.4073	0.5523	0.9229	1.2516	7.7104	25.1577
9	0.4413	0.414	0.5262	0.9381	1.1924	6.1851	19.2354
10	0.4413	0.4189	0.5085	0.9493	1.1524	5.067	15.2413
11	0.4413	0.4227	0.496	0.9578	1.1239	4.2234	12.393
12	0.4413	0.4255	0.4867	0.9643	1.1029	3.5725	10.2873
13	0.4413	0.4278	0.4796	0.9694	1.0868	3.0601	8.6832
14	0.4413	0.4296	0.4741	0.9735	1.0743	2.6498	7.4315
15	0.4413	0.4311	0.4697	0.9768	1.0643	2.3163	6.435
16	0.4413	0.4323	0.4661	0.9796	1.0563	2.0419	5.628
17	0.4413	0.4333	0.4632	0.9819	1.0497	1.8131	4.9653
18	0.4413	0.4341	0.4608	0.9838	1.0441	1.6207	4.4137
19	0.4413	0.4349	0.4587	0.9854	1.0395	1.4573	3.9499
20	0.4413	0.4355	0.457	0.9868	1.0356	1.3174	3.5559
21	0.4413	0.436	0.4555	0.988	1.0322	1.1966	3.2184
22	0.4413	0.4365	0.4542	0.9891	1.0293	1.0917	2.9269
23	0.4413	0.4369	0.4531	0.99	1.0267	1.0001	2.6735
24	0.4413	0.4372	0.4521	0.9908	1.0245	0.9195	2.4517
25	0.4413	0.4375	0.4512	0.9915	1.0226	0.8483	2.2564
26	0.4413	0.4378	0.4505	0.9921	1.0208	0.785	2.0838
27	0.4413	0.4381	0.4498	0.9927	1.0193	0.7286	1.9303
28	0.4413	0.4383	0.4492	0.9932	1.0179	0.678	1.7931
29	0.4413	0.4385	0.4487	0.9937	1.0167	0.6326	1.6701
30	0.4413	0.4387	0.4482	0.9941	1.0156	0.5916	1.5593
31	0.4413	0.4388	0.4477	0.9945	1.0146	0.5544	1.4592
32	0.4413	0.439	0.4473	0.9948	1.0137	0.5207	1.3685
33	0.4413	0.4391	0.447	0.9951	1.0129	0.4899	1.2859
34	0.4413	0.4392	0.4466	0.9954	1.0121	0.4619	1.2106
35	0.4413	0.4394	0.4463	0.9956	1.0114	0.4362	1.1418
36	0.4413	0.4395	0.446	0.9959	1.0108	0.4125	1.0786
37	0.4413	0.4396	0.4458	0.9961	1.0102	0.3908	1.0205
38	0.4413	0.4397	0.4456	0.9963	1.0097	0.3707	0.967
39	0.4413	0.4397	0.4453	0.9965	1.0092	0.3522	0.9176
40	0.4413	0.4398	0.4451	0.9966	1.0087	0.335	0.8719
41	0.4413	0.4399	0.4449	0.9968	1.0083	0.3191	0.8295
42	0.4413	0.4399	0.4448	0.997	1.0079	0.3043	0.7901
43	0.4413	0.44	0.4446	0.9971	1.0075	0.2905	0.7535
44	0.4413	0.4401	0.4445	0.9972	1.0072	0.2776	0.7193
45	0.4413	0.4401	0.4443	0.9973	1.0069	0.2656	0.6874
46	0.4413	0.4402	0.4442	0.9975	1.0066	0.2544	0.6576
47	0.4413	0.4402	0.4441	0.9976	1.0063	0.2438	0.6297
48	0.4413	0.4403	0.444	0.9977	1.006	0.234	0.6034
49	0.4413	0.4403	0.4438	0.9978	1.0058	0.2245	0.5789
50	0.4413	0.4403	0.4437	0.9978	1.0056	0.216	0.5556
