N	E	E1	E2	E1/E0	E2/E0	|1-E1/E0|(percent)	|1-E2/E0|(percent)
2	0.0484	0.0297	0.0432	0.6134	0.8935	38.6565	10.6548
3	0.0484	0.0392	0.0456	0.8107	0.9431	18.9303	5.6866
4	0.0484	0.043	0.0471	0.8878	0.9745	11.2227	2.55
5	0.0484	0.0448	0.0477	0.9264	0.9852	7.3597	1.4777
6	0.0484	0.0459	0.0479	0.9482	0.9903	5.183	0.9667
7	0.0484	0.0465	0.0481	0.9616	0.9932	3.8412	0.684
8	0.0484	0.047	0.0481	0.9704	0.9949	2.9591	0.5121
9	0.0484	0.0472	0.0482	0.9765	0.996	2.3488	0.3991
10	0.0484	0.0475	0.0482	0.9809	0.9968	1.9095	0.3208
11	0.0484	0.0476	0.0483	0.9842	0.9974	1.5831	0.2642
12	0.0484	0.0477	0.0483	0.9867	0.9978	1.3338	0.2219
13	0.0484	0.0478	0.0483	0.9886	0.9981	1.1395	0.1896
14	0.0484	0.0479	0.0483	0.9902	0.9984	0.9849	0.1641
15	0.0484	0.048	0.0483	0.9914	0.9986	0.86	0.1438
16	0.0484	0.048	0.0483	0.9924	0.9987	0.7576	0.1273
17	0.0484	0.0481	0.0483	0.9933	0.9989	0.6727	0.1137
18	0.0484	0.0481	0.0483	0.994	0.999	0.6014	0.1024
19	0.0484	0.0481	0.0483	0.9946	0.9991	0.5411	0.0928
20	0.0484	0.0481	0.0483	0.9951	0.9992	0.4895	0.0847
21	0.0484	0.0482	0.0483	0.9955	0.9992	0.4452	0.0778
22	0.0484	0.0482	0.0483	0.9959	0.9993	0.4067	0.0717
23	0.0484	0.0482	0.0484	0.9963	0.9993	0.3731	0.0665
24	0.0484	0.0482	0.0484	0.9966	0.9994	0.3436	0.0619
25	0.0484	0.0482	0.0484	0.9968	0.9994	0.3176	0.0579
26	0.0484	0.0482	0.0484	0.9971	0.9995	0.2945	0.0543
27	0.0484	0.0482	0.0484	0.9973	0.9995	0.2739	0.0511
28	0.0484	0.0483	0.0484	0.9974	0.9995	0.2555	0.0483
29	0.0484	0.0483	0.0484	0.9976	0.9995	0.2389	0.0457
30	0.0484	0.0483	0.0484	0.9978	0.9996	0.224	0.0434
31	0.0484	0.0483	0.0484	0.9979	0.9996	0.2105	0.0413
32	0.0484	0.0483	0.0484	0.998	0.9996	0.1982	0.0395
33	0.0484	0.0483	0.0484	0.9981	0.9996	0.187	0.0377
34	0.0484	0.0483	0.0484	0.9982	0.9996	0.1768	0.0362
35	0.0484	0.0483	0.0484	0.9983	0.9997	0.1675	0.0347
36	0.0484	0.0483	0.0484	0.9984	0.9997	0.1589	0.0334
37	0.0484	0.0483	0.0484	0.9985	0.9997	0.151	0.0322
38	0.0484	0.0483	0.0484	0.9986	0.9997	0.1438	0.0311
39	0.0484	0.0483	0.0484	0.9986	0.9997	0.137	0.0301
40	0.0484	0.0483	0.0484	0.9987	0.9997	0.1308	0.0291
41	0.0484	0.0483	0.0484	0.9987	0.9997	0.125	0.0282
42	0.0484	0.0483	0.0484	0.9988	0.9997	0.1197	0.0274
43	0.0484	0.0483	0.0484	0.9989	0.9997	0.1147	0.0267
44	0.0484	0.0483	0.0484	0.9989	0.9997	0.11	0.026
45	0.0484	0.0483	0.0484	0.9989	0.9997	0.1057	0.0253
46	0.0484	0.0483	0.0484	0.999	0.9998	0.1016	0.0247
47	0.0484	0.0483	0.0484	0.999	0.9998	0.0978	0.0241
48	0.0484	0.0483	0.0484	0.9991	0.9998	0.0942	0.0236
49	0.0484	0.0483	0.0484	0.9991	0.9998	0.0909	0.0231
50	0.0484	0.0483	0.0484	0.9991	0.9998	0.0877	0.0226
