"Disp"	"F1"	"F2"	"F3"	"F4"	"F5"	"F6"
10.600000000000001	821.19	769.2	747.59	622.59	536.39	321.57
10.700000000000001	825.59	777.59	751.99	627.19	538.59	324.79
10.8	829.19	782.39	753.64	630.99	537.99	325.82
10.9	834.99	790.46	755.99	634.99	536.19	325.99
11.0	840.79	798.79	757.99	639.06	534.69	327.42
11.100000000000001	844.79	806.39	759.99	643.91	533.18	329.59
11.200000000000001	848.39	815.99	762.84	646.99	532.99	336.79
11.3	851.19	825.39	767.79	653.19	533.59	338.79
11.4	856.99	834.99	768.79	658.34	533.09	339.39
11.5	862.59	841.99	773.79	663.91	532.79	341.99
11.600000000000001	865.54	847.99	774.39	667.91	535.39	341.22
11.700000000000001	867.99	857.59	774.99	671.59	534.79	345.71
11.8	873.07	864.19	773.39	677.39	532.99	344.59
11.9	877.39	871.86	774.79	684.99	532.99	343.62
12.0	882.99	879.99	779.99	688.26	534.52	344.19
12.100000000000001	885.34	887.99	782.39	694.19	535.59	346.19
12.200000000000001	888.39	894.79	781.39	697.19	534.59	347.39
12.3	892.59	901.19	781.59	702.19	532.79	347.79
12.4	898.64	910.79	782.79	707.06	533.72	350.02
12.5	901.34	919.59	781.69	709.99	533.79	351.39
12.600000000000001	904.99	927.79	784.19	715.99	532.39	353.59
12.700000000000001	909.84	933.19	785.99	716.99	533.7	353.91
12.8	913.59	942.79	785.99	718.59	535.39	355.79
12.9	915.34	952.58	787.39	721.99	533.19	356.19
13.0	917.19	958.78	787.99	726.26	532.99	359.39
13.100000000000001	919.74	966.46	788.79	729.39	532.19	359.19
13.200000000000001	922.59	972.98	789.59	732.99	533.19	358.19
13.3	925.19	978.78	790.79	736.66	533.79	361.51
13.4	928.99	987.98	791.39	740.19	536.87	365.39
13.5	931.99	994.38	791.99	743.51	537.47	365.39
13.600000000000001	936.99	1002.15	793.64	747.19	536.43	363.59
13.700000000000001	941.19	1011.18	795.99	750.91	533.79	368.79
13.8	942.99	1017.98	796.64	753.59	533.59	369.99
13.9	944.98	1023.98	797.19	755.99	533.99	370.79
14.0	938.79	1032.42	798.39	758.19	534.99	370.99
14.100000000000001	943.98	1039.62	799.99	761.11	534.39	372.79
14.200000000000001	945.98	1047.78	800.94	764.19	535.19	371.58
14.3	950.63	1055.78	803.19	766.79	533.19	372.61
14.4	952.18	1061.78	803.99	768.59	531.99	375.79
14.5	956.38	1067.26	803.99	771.39	529.79	375.19
14.600000000000001	957.18	1074.78	805.99	773.99	527.99	377.19
14.700000000000001	960.13	1082.18	802.79	775.79	531.39	379.19
14.8	961.83	1088.98	801.99	779.79	531.79	378.99
14.9	961.58	1096.18	806.99	781.39	530.99	377.79
15.0	963.93	1103.18	809.77	784.99	528.47	379.59
15.100000000000001	964.63	1108.38	810.99	787.79	529.39	383.39
15.200000000000001	965.18	1114.78	813.19	787.99	528.79	382.99
15.3	963.33	1119.62	815.39	788.39	531.79	382.99
15.4	957.18	1123.78	817.99	790.79	530.19	383.99
15.5	960.03	1131.98	818.39	791.79	529.39	384.26
15.600000000000001	962.38	1140.18	816.77	793.19	527.79	385.19
15.700000000000001	964.78	1149.78	817.79	794.99	527.79	386.99
15.8	965.38	1157.58	815.99	796.79	528.99	385.19
15.9	965.83	1161.41	816.99	798.79	527.79	387.59
16.0	967.98	1168.78	819.19	799.99	528.19	387.79
16.1	967.78	1176.67	823.17	801.59	527.79	389.39
16.2	968.18	1184.38	824.0	803.59	527.99	389.59
16.3	968.13	1188.98	823.19	805.19	526.39	389.99
16.400000000000002	968.18	1194.63	822.99	805.99	525.64	393.19
16.5	968.73	1197.38	821.79	807.19	524.79	391.53
16.6	967.18	1203.38	821.99	809.99	525.19	392.59
16.7	968.58	1208.32	828.59	811.79	527.74	393.39
16.8	970.23	1214.04	828.99	812.99	527.19	393.33
16.900000000000002	968.83	1220.18	830.19	813.79	527.19	394.93
17.0	969.68	1225.98	828.79	814.19	526.59	394.53
17.1	968.78	1232.98	827.31	816.79	527.59	396.39
17.2	969.18	1235.38	829.91	816.79	525.79	396.19
17.3	968.38	1239.78	828.99	816.79	524.99	395.99
17.400000000000002	968.18	1241.38	826.79	817.82	527.99	396.19
17.5	968.38	1250.18	824.79	817.99	523.99	397.12
17.6	969.58	1256.18	824.99	818.99	524.39	398.26
17.7	969.38	1260.38	827.06	819.39	525.59	398.65
17.8	970.18	1263.78	828.79	820.59	524.99	399.39
17.900000000000002	971.18	1263.78	830.19	820.99	528.19	398.59
18.0	971.03	1267.98	828.79	821.59	525.19	400.44
18.1	969.38	1272.58	827.99	821.39	524.39	400.59
18.2	972.78	1277.18	828.39	821.19	524.72	400.79
18.3	969.18	1280.38	828.19	822.79	525.79	404.19
18.400000000000002	972.73	1282.78	828.19	822.79	526.99	404.39
18.5	973.38	1285.18	828.79	822.79	528.19	407.44
18.6	973.42	1287.98	829.19	826.79	528.99	407.94
18.7	973.78	1291.18	830.99	826.99	528.59	408.19
18.8	973.38	1288.98	830.99	825.99	527.19	408.79
18.900000000000002	970.58	1294.58	829.19	827.79	528.39	409.99
19.0	972.98	1294.58	829.79	827.39	527.68	407.99
19.1	973.38	1297.27	831.39	828.59	530.13	409.39
19.200000000000003	971.58	1297.92	832.13	831.39	529.45	411.03
19.3	972.49	1298.18	833.79	828.99	526.19	411.19
19.400000000000002	972.78	1298.78	833.84	828.59	528.93	406.79
19.5	972.78	1298.38	831.79	829.39	532.19	406.59
19.6	973.18	1303.58	831.93	829.19	530.99	408.19
19.700000000000003	969.38	1303.18	831.39	828.19	529.39	407.39
19.8	969.49	1303.7	833.79	828.99	530.59	409.39
19.900000000000002	967.48	1304.38	833.59	827.59	533.39	409.79
20.0	967.58	1304.18	831.99	819.99	530.99	409.79
20.1	967.38	1301.65	833.79	815.79	532.39	410.79
20.200000000000003	971.38	1298.18	834.3	813.79	531.79	413.79
20.3	971.78	1296.38	833.99	811.39	534.39	410.99
20.400000000000002	970.58	1295.78	834.99	810.76	nan	410.79
20.5	967.98	1292.98	835.34	808.7	nan	410.59
20.6	969.58	1289.75	834.99	805.99	nan	410.59
20.700000000000003	969.78	1288.4	836.39	803.99	nan	411.99
20.8	970.38	1286.4	838.19	801.99	nan	411.99
20.900000000000002	969.98	1282.58	837.19	799.99	nan	414.79
21.0	969.98	1278.95	837.94	797.99	nan	414.99
21.1	968.82	1275.38	837.19	796.19	nan	415.79
21.200000000000003	971.78	1271.78	837.99	794.99	nan	416.36
21.3	969.98	1268.18	837.99	793.99	nan	417.39
21.400000000000002	968.18	1264.03	838.79	792.59	nan	416.79
21.5	966.98	1259.98	840.19	788.39	nan	417.59
21.6	968.38	1257.98	840.19	791.19	nan	417.99
21.700000000000003	969.38	1253.78	840.39	787.59	nan	418.39
21.8	970.78	1247.36	840.19	784.31	nan	416.79
21.900000000000002	969.58	1242.53	840.19	782.39	nan	417.99
22.0	970.05	1237.21	841.19	783.59	nan	416.99
22.1	969.18	1232.56	841.39	778.59	nan	413.22
22.200000000000003	967.02	1223.38	841.19	769.99	nan	413.19
22.3	967.45	1216.98	845.39	766.99	nan	413.19
22.400000000000002	966.92	1213.16	843.84	764.99	nan	412.82
22.5	968.58	1205.63	845.99	762.79	nan	413.19
22.6	968.18	1196.51	846.59	760.99	nan	412.99
22.700000000000003	968.58	1191.38	847.59	759.99	nan	410.99
22.8	968.38	1182.58	846.79	755.99	nan	409.59
22.900000000000002	967.58	1175.18	847.79	753.99	nan	410.99
23.0	964.78	1164.58	849.19	751.39	nan	409.79
23.1	965.58	1155.58	848.59	748.99	nan	409.39
23.200000000000003	970.98	1146.78	846.59	745.99	nan	409.59
23.3	970.38	1138.38	845.99	744.39	nan	407.79
23.400000000000002	969.18	1130.78	845.39	741.39	nan	406.19
23.5	966.58	1121.58	847.7	739.99	nan	406.79
23.6	966.87	1116.46	848.99	736.57	nan	407.19
23.700000000000003	970.38	1113.18	848.99	734.39	nan	405.99
23.8	970.38	1107.78	849.19	731.59	nan	403.31
23.900000000000002	970.38	1103.78	848.99	727.99	nan	405.59
24.0	969.03	1097.18	849.99	725.98	nan	404.88
24.1	967.58	1093.86	851.39	723.99	nan	401.79
24.200000000000003	965.93	1088.38	850.19	720.78	nan	403.39
24.3	965.98	1079.58	852.99	716.99	nan	402.88
24.400000000000002	965.38	1071.58	854.99	714.39	nan	402.39
24.5	962.78	1056.58	853.79	712.4	nan	398.48
24.6	961.61	1047.58	852.79	709.19	nan	397.39
24.700000000000003	961.83	1037.11	853.79	703.99	nan	394.59
24.8	962.23	1032.18	855.79	700.59	nan	392.79
24.900000000000002	962.93	1027.6	856.19	697.99	nan	392.79
25.0	961.98	1020.71	854.79	694.59	nan	391.39
25.1	961.98	1016.58	853.19	691.59	nan	390.19
25.200000000000003	961.18	1011.78	855.59	687.19	nan	387.44
25.3	960.98	1009.11	859.19	682.79	nan	384.59
25.400000000000002	958.33	1004.98	858.59	678.99	nan	384.99
25.5	956.18	1001.18	856.99	675.99	nan	383.99
25.6	954.38	999.18	858.79	672.19	nan	380.79
25.700000000000003	952.78	996.78	859.39	669.39	nan	379.59
25.8	952.18	992.38	nan	669.39	nan	376.67
25.900000000000002	950.18	987.78	nan	669.99	nan	376.19
26.0	950.78	984.18	nan	667.79	nan	373.59
26.1	947.98	981.18	nan	661.99	nan	371.99
26.200000000000003	947.78	978.98	nan	657.99	nan	371.19
26.3	944.38	977.98	nan	657.19	nan	367.99
26.400000000000002	941.59	976.18	nan	654.86	nan	368.39
26.5	943.78	975.18	nan	654.79	nan	367.39
26.6	944.18	973.98	nan	653.99	nan	364.79
26.700000000000003	940.68	970.58	nan	652.99	nan	363.99
26.8	939.99	969.98	nan	651.39	nan	363.99
26.900000000000002	936.79	969.24	nan	652.39	nan	361.79
27.0	937.19	nan	nan	652.31	nan	361.26
27.1	936.59	nan	nan	651.39	nan	358.79
27.200000000000003	934.59	nan	nan	650.71	nan	358.86
27.3	933.19	nan	nan	650.86	nan	355.39
27.400000000000002	932.19	nan	nan	650.99	nan	352.19
27.5	931.99	nan	nan	652.19	nan	351.99
27.6	930.19	nan	nan	652.79	nan	349.39
27.700000000000003	930.79	nan	nan	652.79	nan	347.39
27.8	926.39	nan	nan	652.66	nan	345.99
27.900000000000002	925.19	nan	nan	652.19	nan	344.99
28.0	923.99	nan	nan	652.99	nan	345.99
28.1	922.19	nan	nan	655.39	nan	345.39
28.200000000000003	921.59	nan	nan	655.19	nan	346.39
28.3	920.59	nan	nan	659.79	nan	345.79
28.400000000000002	nan	nan	nan	661.79	nan	344.99
28.5	nan	nan	nan	663.59	nan	346.19
28.6	nan	nan	nan	665.39	nan	345.19
28.700000000000003	nan	nan	nan	666.19	nan	344.79
28.8	nan	nan	nan	667.59	nan	346.19
28.900000000000002	nan	nan	nan	668.79	nan	345.79
29.0	nan	nan	nan	668.79	nan	344.79
29.1	nan	nan	nan	665.79	nan	343.19
29.200000000000003	nan	nan	nan	667.79	nan	341.19
29.3	nan	nan	nan	665.99	nan	343.19
29.400000000000002	nan	nan	nan	665.79	nan	344.19
29.5	nan	nan	nan	665.59	nan	344.99
29.6	nan	nan	nan	666.79	nan	342.59
29.700000000000003	nan	nan	nan	667.99	nan	343.99
29.8	nan	nan	nan	668.79	nan	344.39
29.900000000000002	nan	nan	nan	669.39	nan	344.27
30.0	nan	nan	nan	673.39	nan	343.39
30.1	nan	nan	nan	676.99	nan	344.59
30.200000000000003	nan	nan	nan	673.39	nan	344.59
30.3	nan	nan	nan	670.79	nan	344.99
30.400000000000002	nan	nan	nan	668.79	nan	343.99
30.5	nan	nan	nan	nan	nan	343.99
30.6	nan	nan	nan	nan	nan	343.19
30.700000000000003	nan	nan	nan	nan	nan	344.99
30.8	nan	nan	nan	nan	nan	344.73
30.900000000000002	nan	nan	nan	nan	nan	344.19
31.0	nan	nan	nan	nan	nan	344.26
31.1	nan	nan	nan	nan	nan	344.79
31.200000000000003	nan	nan	nan	nan	nan	345.13
31.3	nan	nan	nan	nan	nan	345.79
31.400000000000002	nan	nan	nan	nan	nan	348.99
31.5	nan	nan	nan	nan	nan	348.39
31.6	nan	nan	nan	nan	nan	350.19
31.700000000000003	nan	nan	nan	nan	nan	349.13
31.8	nan	nan	nan	nan	nan	351.59
31.900000000000002	nan	nan	nan	nan	nan	352.13
