N	E	E1	E2	E1/E0	E2/E0	|1-E1/E0|(percent)	|1-E2/E0|(percent)
2	0.8704	0.0429	0.0648	0.0493	0.0744	95.0742	92.5572
3	0.8704	0.0135	30.5739	0.0155	35.1247	98.4466	3412.4702
4	0.8704	0.3671	3.8775	0.4217	4.4547	57.8259	345.4688
5	0.8704	0.3803	5.1363	0.4369	5.9008	56.3088	490.0799
6	0.8704	0.5917	9.3419	0.6797	10.7324	32.0254	973.2424
7	0.8704	0.6501	2.371	0.7469	2.7239	25.3141	172.3881
8	0.8704	0.6985	2.1621	0.8024	2.4839	19.7555	148.3939
9	0.8704	0.7309	1.6089	0.8397	1.8484	16.0334	84.839
10	0.8704	0.7539	1.4561	0.8662	1.6728	13.3842	67.2846
11	0.8704	0.7723	1.3063	0.8873	1.5008	11.2721	50.0757
12	0.8704	0.7864	1.2246	0.9034	1.4069	9.6564	40.6927
13	0.8704	0.7978	1.1591	0.9166	1.3316	8.3408	33.1585
14	0.8704	0.8071	1.113	0.9272	1.2787	7.2806	27.8711
15	0.8704	0.8147	1.0767	0.936	1.237	6.4027	23.6983
16	0.8704	0.821	1.0486	0.9432	1.2046	5.6763	20.4636
17	0.8704	0.8264	1.0258	0.9494	1.1785	5.061	17.8545
18	0.8704	0.8309	1.0074	0.9546	1.1573	4.5424	15.7317
19	0.8704	0.8348	0.9921	0.959	1.1397	4.097	13.9725
20	0.8704	0.8381	0.9792	0.9629	1.125	3.714	12.5004
21	0.8704	0.841	0.9684	0.9662	1.1125	3.3816	11.2532
22	0.8704	0.8435	0.9591	0.9691	1.1019	3.0917	10.1871
23	0.8704	0.8457	0.9511	0.9716	1.0927	2.8374	9.2677
24	0.8704	0.8477	0.9442	0.9739	1.0847	2.6131	8.4692
25	0.8704	0.8494	0.9381	0.9759	1.0777	2.4138	7.7715
26	0.8704	0.851	0.9327	0.9776	1.0716	2.236	7.1582
27	0.8704	0.8524	0.928	0.9792	1.0662	2.0769	6.6156
28	0.8704	0.8536	0.9238	0.9807	1.0613	1.9342	6.133
29	0.8704	0.8547	0.9201	0.9819	1.057	1.8057	5.7017
30	0.8704	0.8557	0.9167	0.9831	1.0531	1.6897	5.3148
31	0.8704	0.8566	0.9137	0.9842	1.0497	1.5843	4.9664
32	0.8704	0.8575	0.9109	0.9851	1.0465	1.4886	4.6514
33	0.8704	0.8582	0.9084	0.986	1.0437	1.4011	4.3659
34	0.8704	0.8589	0.9062	0.9868	1.0411	1.3213	4.1059
35	0.8704	0.8596	0.9041	0.9875	1.0387	1.248	3.8687
36	0.8704	0.8602	0.9022	0.9882	1.0365	1.1806	3.6516
37	0.8704	0.8607	0.9005	0.9888	1.0345	1.1185	3.4523
38	0.8704	0.8612	0.8989	0.9894	1.0327	1.0612	3.2691
39	0.8704	0.8617	0.8974	0.9899	1.031	1.0081	3.1002
40	0.8704	0.8621	0.8961	0.9904	1.0294	0.9591	2.9441
41	0.8704	0.8625	0.8948	0.9909	1.028	0.9132	2.7996
42	0.8704	0.8629	0.8936	0.9913	1.0267	0.871	2.6654
43	0.8704	0.8632	0.8926	0.9917	1.0254	0.831	2.541
44	0.8704	0.8635	0.8915	0.9921	1.0242	0.7948	2.4244
45	0.8704	0.8638	0.8906	0.9924	1.0232	0.7592	2.317
46	0.8704	0.8641	0.8897	0.9927	1.0221	0.7283	2.2145
47	0.8704	0.8644	0.8889	0.993	1.0212	0.6961	2.1217
48	0.8704	0.8646	0.8881	0.9933	1.0203	0.6699	2.0308
49	0.8704	0.8649	0.8874	0.9936	1.0195	0.6408	1.9499
50	0.8704	0.8651	0.8867	0.9938	1.0187	0.6179	1.8695
