N	E	E1	E2	E1/E0	E2/E0	|1-E1/E0|(percent)	|1-E2/E0|(percent)
2	0.0758	0.0446	0.0826	0.5884	1.0902	41.1624	9.0211
3	0.0758	0.0606	0.077	0.7991	1.0166	20.091	1.6599
4	0.0758	0.0667	0.0774	0.8797	1.0209	12.0254	2.0942
5	0.0758	0.0698	0.077	0.9208	1.0156	7.9171	1.5576
6	0.0758	0.0716	0.0767	0.9441	1.0117	5.5868	1.1676
7	0.0758	0.0726	0.0765	0.9585	1.0089	4.1462	0.8942
8	0.0758	0.0734	0.0763	0.968	1.007	3.1964	0.7017
9	0.0758	0.0739	0.0762	0.9746	1.0056	2.5385	0.5628
10	0.0758	0.0742	0.0761	0.9794	1.0046	2.0644	0.46
11	0.0758	0.0745	0.0761	0.9829	1.0038	1.7118	0.382
12	0.0758	0.0747	0.076	0.9856	1.0032	1.4425	0.3217
13	0.0758	0.0749	0.076	0.9877	1.0027	1.2323	0.2742
14	0.0758	0.075	0.076	0.9893	1.0024	1.0651	0.236
15	0.0758	0.0751	0.0759	0.9907	1.0021	0.9299	0.205
16	0.0758	0.0752	0.0759	0.9918	1.0018	0.8192	0.1795
17	0.0758	0.0752	0.0759	0.9927	1.0016	0.7272	0.1582
18	0.0758	0.0753	0.0759	0.9935	1.0014	0.6501	0.1403
19	0.0758	0.0753	0.0759	0.9942	1.0013	0.5848	0.1251
20	0.0758	0.0754	0.0759	0.9947	1.0011	0.529	0.112
21	0.0758	0.0754	0.0759	0.9952	1.001	0.4809	0.1008
22	0.0758	0.0755	0.0759	0.9956	1.0009	0.4392	0.091
23	0.0758	0.0755	0.0759	0.996	1.0008	0.4028	0.0825
24	0.0758	0.0755	0.0758	0.9963	1.0007	0.3709	0.075
25	0.0758	0.0755	0.0758	0.9966	1.0007	0.3427	0.0683
26	0.0758	0.0755	0.0758	0.9968	1.0006	0.3177	0.0624
27	0.0758	0.0756	0.0758	0.997	1.0006	0.2954	0.0572
28	0.0758	0.0756	0.0758	0.9972	1.0005	0.2754	0.0525
29	0.0758	0.0756	0.0758	0.9974	1.0005	0.2575	0.0482
30	0.0758	0.0756	0.0758	0.9976	1.0004	0.2413	0.0444
31	0.0758	0.0756	0.0758	0.9977	1.0004	0.2267	0.0409
32	0.0758	0.0756	0.0758	0.9979	1.0004	0.2134	0.0378
33	0.0758	0.0756	0.0758	0.998	1.0003	0.2013	0.0349
34	0.0758	0.0756	0.0758	0.9981	1.0003	0.1902	0.0323
35	0.0758	0.0757	0.0758	0.9982	1.0003	0.1801	0.0299
36	0.0758	0.0757	0.0758	0.9983	1.0003	0.1708	0.0277
37	0.0758	0.0757	0.0758	0.9984	1.0003	0.1623	0.0257
38	0.0758	0.0757	0.0758	0.9985	1.0002	0.1544	0.0238
39	0.0758	0.0757	0.0758	0.9985	1.0002	0.1471	0.0221
40	0.0758	0.0757	0.0758	0.9986	1.0002	0.1404	0.0205
41	0.0758	0.0757	0.0758	0.9987	1.0002	0.1341	0.019
42	0.0758	0.0757	0.0758	0.9987	1.0002	0.1283	0.0176
43	0.0758	0.0757	0.0758	0.9988	1.0002	0.1229	0.0164
44	0.0758	0.0757	0.0758	0.9988	1.0002	0.1178	0.0152
45	0.0758	0.0757	0.0758	0.9989	1.0001	0.1131	0.014
46	0.0758	0.0757	0.0758	0.9989	1.0001	0.1087	0.013
47	0.0758	0.0757	0.0758	0.999	1.0001	0.1046	0.012
48	0.0758	0.0757	0.0758	0.999	1.0001	0.1007	0.0111
49	0.0758	0.0757	0.0758	0.999	1.0001	0.0971	0.0102
50	0.0758	0.0757	0.0758	0.9991	1.0001	0.0936	0.0094
