N	E	E1	E2	E1/E0	E2/E0	|1-E1/E0|(percent)	|1-E2/E0|(percent)
2	0.0353	0.0221	0.0289	0.6251	0.8177	37.4862	18.2251
3	0.0353	0.0288	0.0322	0.8164	0.911	18.362	8.9049
4	0.0353	0.0315	0.0337	0.8916	0.9536	10.8362	4.6362
5	0.0353	0.0328	0.0343	0.9291	0.9713	7.0937	2.8674
6	0.0353	0.0335	0.0346	0.9501	0.9805	4.9896	1.953
7	0.0353	0.034	0.0348	0.963	0.9858	3.6957	1.4188
8	0.0353	0.0343	0.0349	0.9715	0.9892	2.8457	1.0793
9	0.0353	0.0345	0.035	0.9774	0.9915	2.2582	0.8499
10	0.0353	0.0346	0.0351	0.9816	0.9931	1.8356	0.6875
11	0.0353	0.0348	0.0351	0.9848	0.9943	1.5216	0.5682
12	0.0353	0.0348	0.0351	0.9872	0.9952	1.2821	0.4781
13	0.0353	0.0349	0.0352	0.989	0.9959	1.0952	0.4082
14	0.0353	0.035	0.0352	0.9905	0.9965	0.9467	0.353
15	0.0353	0.035	0.0352	0.9917	0.9969	0.8267	0.3086
16	0.0353	0.035	0.0352	0.9927	0.9973	0.7283	0.2723
17	0.0353	0.0351	0.0352	0.9935	0.9976	0.6467	0.2423
18	0.0353	0.0351	0.0352	0.9942	0.9978	0.5783	0.2172
19	0.0353	0.0351	0.0352	0.9948	0.998	0.5203	0.196
20	0.0353	0.0351	0.0352	0.9953	0.9982	0.4708	0.1779
21	0.0353	0.0351	0.0352	0.9957	0.9984	0.4282	0.1623
22	0.0353	0.0352	0.0352	0.9961	0.9985	0.3913	0.1488
23	0.0353	0.0352	0.0352	0.9964	0.9986	0.359	0.1371
24	0.0353	0.0352	0.0353	0.9967	0.9987	0.3307	0.1268
25	0.0353	0.0352	0.0353	0.9969	0.9988	0.3057	0.1177
26	0.0353	0.0352	0.0353	0.9972	0.9989	0.2835	0.1097
27	0.0353	0.0352	0.0353	0.9974	0.999	0.2638	0.1025
28	0.0353	0.0352	0.0353	0.9975	0.999	0.2461	0.0961
29	0.0353	0.0352	0.0353	0.9977	0.9991	0.2302	0.0903
30	0.0353	0.0352	0.0353	0.9978	0.9991	0.2158	0.0851
31	0.0353	0.0352	0.0353	0.998	0.9992	0.2029	0.0804
32	0.0353	0.0352	0.0353	0.9981	0.9992	0.1911	0.0762
33	0.0353	0.0352	0.0353	0.9982	0.9993	0.1804	0.0723
34	0.0353	0.0352	0.0353	0.9983	0.9993	0.1706	0.0688
35	0.0353	0.0352	0.0353	0.9984	0.9993	0.1616	0.0655
36	0.0353	0.0352	0.0353	0.9985	0.9994	0.1534	0.0625
37	0.0353	0.0352	0.0353	0.9985	0.9994	0.1458	0.0598
38	0.0353	0.0352	0.0353	0.9986	0.9994	0.1388	0.0573
39	0.0353	0.0352	0.0353	0.9987	0.9995	0.1324	0.0549
40	0.0353	0.0353	0.0353	0.9987	0.9995	0.1264	0.0528
41	0.0353	0.0353	0.0353	0.9988	0.9995	0.1209	0.0508
42	0.0353	0.0353	0.0353	0.9988	0.9995	0.1157	0.0489
43	0.0353	0.0353	0.0353	0.9989	0.9995	0.1109	0.0472
44	0.0353	0.0353	0.0353	0.9989	0.9995	0.1064	0.0456
45	0.0353	0.0353	0.0353	0.999	0.9996	0.1023	0.0441
46	0.0353	0.0353	0.0353	0.999	0.9996	0.0984	0.0427
47	0.0353	0.0353	0.0353	0.9991	0.9996	0.0947	0.0413
48	0.0353	0.0353	0.0353	0.9991	0.9996	0.0913	0.0401
49	0.0353	0.0353	0.0353	0.9991	0.9996	0.088	0.039
50	0.0353	0.0353	0.0353	0.9992	0.9996	0.085	0.0378
