N	E	E1	E2	E1/E0	E2/E0	|1-E1/E0|(percent)	|1-E2/E0|(percent)
2	0.4068	0.1163	2.5591	0.2858	6.2905	71.42	529.0494
3	0.4068	0.2365	1.3125	0.5813	3.2264	41.8672	222.6397
4	0.4068	0.3067	1.0833	0.7538	2.663	24.6187	166.3004
5	0.4068	0.3392	0.6784	0.8338	1.6677	16.6205	66.7714
6	0.4068	0.3577	0.5837	0.8792	1.4347	12.0799	43.4715
7	0.4068	0.3697	0.527	0.9088	1.2954	9.119	29.5423
8	0.4068	0.3778	0.4954	0.9288	1.2177	7.1215	21.7706
9	0.4068	0.3836	0.4749	0.9429	1.1673	5.7054	16.7301
10	0.4068	0.3878	0.4609	0.9533	1.133	4.6691	13.2961
11	0.4068	0.391	0.4509	0.9611	1.1084	3.8888	10.8357
12	0.4068	0.3934	0.4435	0.9671	1.0901	3.2876	9.0095
13	0.4068	0.3954	0.4378	0.9719	1.0761	2.8147	7.6143
14	0.4068	0.3969	0.4333	0.9756	1.0652	2.4364	6.5231
15	0.4068	0.3982	0.4298	0.9787	1.0565	2.1292	5.6527
16	0.4068	0.3992	0.4269	0.9812	1.0495	1.8765	4.947
17	0.4068	0.4	0.4246	0.9833	1.0437	1.666	4.3666
18	0.4068	0.4008	0.4226	0.9851	1.0388	1.489	3.8832
19	0.4068	0.4014	0.421	0.9866	1.0348	1.3387	3.4763
20	0.4068	0.4019	0.4195	0.9879	1.0313	1.2101	3.1305
21	0.4068	0.4023	0.4183	0.989	1.0283	1.0991	2.834
22	0.4068	0.4027	0.4173	0.99	1.0258	1.0028	2.5779
23	0.4068	0.4031	0.4164	0.9908	1.0236	0.9185	2.3551
24	0.4068	0.4034	0.4156	0.9916	1.0216	0.8446	2.16
25	0.4068	0.4036	0.4149	0.9922	1.0199	0.7792	1.9883
26	0.4068	0.4039	0.4143	0.9928	1.0184	0.721	1.8363
27	0.4068	0.4041	0.4137	0.9933	1.017	0.6692	1.7011
28	0.4068	0.4043	0.4132	0.9938	1.0158	0.6228	1.5804
29	0.4068	0.4044	0.4128	0.9942	1.0147	0.5811	1.472
30	0.4068	0.4046	0.4124	0.9946	1.0137	0.5434	1.3744
31	0.4068	0.4047	0.412	0.9949	1.0129	0.5094	1.2863
32	0.4068	0.4049	0.4117	0.9952	1.0121	0.4784	1.2063
33	0.4068	0.405	0.4114	0.9955	1.0113	0.4502	1.1336
34	0.4068	0.4051	0.4112	0.9958	1.0107	0.4244	1.0672
35	0.4068	0.4052	0.4109	0.996	1.0101	0.4008	1.0065
36	0.4068	0.4053	0.4107	0.9962	1.0095	0.3792	0.9508
37	0.4068	0.4054	0.4105	0.9964	1.009	0.3592	0.8996
38	0.4068	0.4054	0.4103	0.9966	1.0085	0.3408	0.8525
39	0.4068	0.4055	0.4101	0.9968	1.0081	0.3238	0.8089
40	0.4068	0.4056	0.4099	0.9969	1.0077	0.3081	0.7686
41	0.4068	0.4056	0.4098	0.9971	1.0073	0.2935	0.7312
42	0.4068	0.4057	0.4096	0.9972	1.007	0.2799	0.6964
43	0.4068	0.4057	0.4095	0.9973	1.0066	0.2672	0.6641
44	0.4068	0.4058	0.4094	0.9974	1.0063	0.2554	0.634
45	0.4068	0.4058	0.4093	0.9976	1.0061	0.2444	0.6058
46	0.4068	0.4059	0.4092	0.9977	1.0058	0.2341	0.5795
47	0.4068	0.4059	0.4091	0.9978	1.0055	0.2244	0.5549
48	0.4068	0.4059	0.409	0.9978	1.0053	0.2154	0.5317
49	0.4068	0.406	0.4089	0.9979	1.0051	0.2067	0.5101
50	0.4068	0.406	0.4088	0.998	1.0049	0.1989	0.4896
