N	E	E1	E2	E1/E0	E2/E0	|1-E1/E0|(percent)	|1-E2/E0|(percent)
2	0.6264	0.0822	0.2261	0.1313	0.3609	86.873	63.9097
3	0.6264	0.1093	5.8498	0.1744	9.3387	82.5571	833.8691
4	0.6264	0.3852	25.1193	0.6149	40.1005	38.5121	3910.0503
5	0.6264	0.4545	1.7714	0.7255	2.8279	27.4461	182.7914
6	0.6264	0.5037	1.4691	0.8041	2.3453	19.5945	134.5343
7	0.6264	0.533	1.0779	0.8509	1.7208	14.912	72.0806
8	0.6264	0.5524	0.9539	0.8819	1.5228	11.812	52.283
9	0.6264	0.5666	0.8648	0.9046	1.3805	9.5406	38.0496
10	0.6264	0.5771	0.812	0.9213	1.2964	7.8724	29.6354
11	0.6264	0.5851	0.7747	0.9341	1.2368	6.5947	23.6764
12	0.6264	0.5913	0.7482	0.944	1.1944	5.6023	19.4381
13	0.6264	0.5962	0.7283	0.9519	1.1626	4.8146	16.261
14	0.6264	0.6002	0.713	0.9582	1.1382	4.1801	13.8235
15	0.6264	0.6035	0.701	0.9634	1.1191	3.662	11.9053
16	0.6264	0.6061	0.6914	0.9677	1.1037	3.2341	10.3674
17	0.6264	0.6084	0.6835	0.9712	1.0911	2.8755	9.1144
18	0.6264	0.6103	0.677	0.9743	1.0808	2.5738	8.0783
19	0.6264	0.6119	0.6716	0.9768	1.0721	2.3165	7.2117
20	0.6264	0.6133	0.667	0.979	1.0648	2.0958	6.479
21	0.6264	0.6145	0.6631	0.981	1.0585	1.905	5.8538
22	0.6264	0.6155	0.6597	0.9826	1.0532	1.739	5.3158
23	0.6264	0.6164	0.6568	0.9841	1.0485	1.5938	4.8492
24	0.6264	0.6172	0.6542	0.9853	1.0444	1.466	4.4419
25	0.6264	0.6179	0.652	0.9865	1.0408	1.3529	4.0842
26	0.6264	0.6186	0.65	0.9875	1.0377	1.2521	3.7687
27	0.6264	0.6191	0.6483	0.9884	1.0349	1.1622	3.4885
28	0.6264	0.6196	0.6467	0.9892	1.0324	1.0817	3.2386
29	0.6264	0.6201	0.6453	0.9899	1.0301	1.0092	3.0147
30	0.6264	0.6205	0.644	0.9906	1.0281	0.9438	2.8134
31	0.6264	0.6209	0.6429	0.9912	1.0263	0.8845	2.6317
32	0.6264	0.6212	0.6419	0.9917	1.0247	0.8307	2.4671
33	0.6264	0.6215	0.6409	0.9922	1.0232	0.7816	2.3176
34	0.6264	0.6218	0.6401	0.9926	1.0218	0.7367	2.1812
35	0.6264	0.6221	0.6393	0.993	1.0206	0.6956	2.0567
36	0.6264	0.6223	0.6386	0.9934	1.0194	0.6578	1.9425
37	0.6264	0.6225	0.6379	0.9938	1.0184	0.623	1.8376
38	0.6264	0.6227	0.6373	0.9941	1.0174	0.591	1.741
39	0.6264	0.6229	0.6368	0.9944	1.0165	0.5613	1.6519
40	0.6264	0.6231	0.6362	0.9947	1.0157	0.5338	1.5694
41	0.6264	0.6232	0.6358	0.9949	1.0149	0.5083	1.493
42	0.6264	0.6234	0.6353	0.9952	1.0142	0.4845	1.4221
43	0.6264	0.6235	0.6349	0.9954	1.0136	0.4624	1.3561
44	0.6264	0.6236	0.6345	0.9956	1.0129	0.4418	1.2945
45	0.6264	0.6238	0.6342	0.9958	1.0124	0.4225	1.2372
46	0.6264	0.6239	0.6338	0.996	1.0118	0.4046	1.1834
47	0.6264	0.624	0.6335	0.9961	1.0113	0.3874	1.1334
48	0.6264	0.6241	0.6332	0.9963	1.0109	0.372	1.0858
49	0.6264	0.6242	0.6329	0.9964	1.0104	0.3565	1.0422
50	0.6264	0.6243	0.6327	0.9966	1.01	0.3431	1.0
