N	E	E1	E2	E1/E0	E2/E0	|1-E1/E0|(percent)	|1-E2/E0|(percent)
2	0.2276	0.102	1.575	0.4482	6.9203	55.1824	592.0281
3	0.2276	0.1661	0.3689	0.7296	1.6207	27.0389	62.0682
4	0.2276	0.189	0.318	0.8303	1.3974	16.9707	39.7373
5	0.2276	0.2017	0.2802	0.8864	1.231	11.3562	23.1
6	0.2276	0.2091	0.2632	0.9189	1.1563	8.1129	15.635
7	0.2276	0.2138	0.2532	0.9393	1.1127	6.0657	11.2707
8	0.2276	0.2169	0.247	0.953	1.0853	4.6995	8.5278
9	0.2276	0.2191	0.2428	0.9626	1.0668	3.7444	6.6827
10	0.2276	0.2206	0.2398	0.9695	1.0538	3.0519	5.3809
11	0.2276	0.2218	0.2377	0.9747	1.0443	2.5343	4.4271
12	0.2276	0.2227	0.236	0.9786	1.0371	2.1377	3.707
13	0.2276	0.2234	0.2348	0.9817	1.0315	1.8272	3.1497
14	0.2276	0.224	0.2338	0.9842	1.0271	1.5797	2.7095
15	0.2276	0.2245	0.233	0.9862	1.0236	1.3793	2.3556
16	0.2276	0.2248	0.2323	0.9879	1.0207	1.2148	2.0668
17	0.2276	0.2251	0.2318	0.9892	1.0183	1.0781	1.828
18	0.2276	0.2254	0.2313	0.9904	1.0163	0.9634	1.6282
19	0.2276	0.2256	0.2309	0.9913	1.0146	0.866	1.4595
20	0.2276	0.2258	0.2306	0.9922	1.0132	0.7828	1.3156
21	0.2276	0.226	0.2303	0.9929	1.0119	0.7112	1.192
22	0.2276	0.2261	0.2301	0.9935	1.0108	0.6489	1.0849
23	0.2276	0.2262	0.2298	0.9941	1.0099	0.5946	0.9916
24	0.2276	0.2263	0.2297	0.9945	1.0091	0.5469	0.9097
25	0.2276	0.2264	0.2295	0.995	1.0084	0.5048	0.8376
26	0.2276	0.2265	0.2294	0.9953	1.0077	0.4674	0.7736
27	0.2276	0.2266	0.2292	0.9957	1.0072	0.434	0.7167
28	0.2276	0.2267	0.2291	0.996	1.0067	0.4042	0.6657
29	0.2276	0.2267	0.229	0.9962	1.0062	0.3774	0.62
30	0.2276	0.2268	0.2289	0.9965	1.0058	0.3532	0.5788
31	0.2276	0.2268	0.2288	0.9967	1.0054	0.3313	0.5415
32	0.2276	0.2269	0.2287	0.9969	1.0051	0.3114	0.5076
33	0.2276	0.2269	0.2287	0.9971	1.0048	0.2933	0.4768
34	0.2276	0.227	0.2286	0.9972	1.0045	0.2767	0.4487
35	0.2276	0.227	0.2286	0.9974	1.0042	0.2616	0.423
36	0.2276	0.227	0.2285	0.9975	1.004	0.2477	0.3994
37	0.2276	0.2271	0.2285	0.9977	1.0038	0.2349	0.3777
38	0.2276	0.2271	0.2284	0.9978	1.0036	0.2231	0.3576
39	0.2276	0.2271	0.2284	0.9979	1.0034	0.2122	0.3391
40	0.2276	0.2271	0.2283	0.998	1.0032	0.2021	0.322
41	0.2276	0.2272	0.2283	0.9981	1.0031	0.1927	0.3061
42	0.2276	0.2272	0.2283	0.9982	1.0029	0.184	0.2914
43	0.2276	0.2272	0.2282	0.9982	1.0028	0.1759	0.2776
44	0.2276	0.2272	0.2282	0.9983	1.0026	0.1683	0.2648
45	0.2276	0.2272	0.2282	0.9984	1.0025	0.1612	0.2528
46	0.2276	0.2272	0.2281	0.9985	1.0024	0.1546	0.2416
47	0.2276	0.2273	0.2281	0.9985	1.0023	0.1484	0.2311
48	0.2276	0.2273	0.2281	0.9986	1.0022	0.1426	0.2213
49	0.2276	0.2273	0.2281	0.9986	1.0021	0.1371	0.2121
50	0.2276	0.2273	0.2281	0.9987	1.002	0.132	0.2033
