********************************************************************************
Field Output Report, written Thu Oct 26 16:20:59 2017

Source 1
---------

   ODB: C:/SIMULIA/BenchThesis/96/Job.odb
   Step: ToRotate
   Frame: Increment     12: Step Time =    1.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: PART-1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

            Node        NFORCSO1        NFORCSO2        NFORCSO3        NFORCSO4        NFORCSO5        NFORCSO6
           Label          @Loc 1          @Loc 1          @Loc 1          @Loc 1          @Loc 1          @Loc 1
-----------------------------------------------------------------------------------------------------------------
              70        -176.743        -531.569        -271.978     3.80167E+03    -2.57319E+03     1.87951E+03
              71        -146.738        -531.868        -288.568     3.70665E+03    -2.55011E+03     1.94905E+03
              72        -117.132        -529.814        -305.188     3.61068E+03    -2.52535E+03     2.01618E+03
              73        -88.0460        -525.485        -321.764     3.51411E+03    -2.49890E+03     2.08089E+03
              74        -59.5923        -518.969        -338.220     3.41727E+03    -2.47075E+03     2.14314E+03
              75        -31.8734        -510.362        -354.478     3.32050E+03    -2.44090E+03     2.20295E+03
              76        -4.98174        -499.761        -370.464     3.22411E+03    -2.40936E+03     2.26031E+03
              77         21.0007        -487.273        -386.102     3.12843E+03    -2.37615E+03     2.31524E+03
              78         46.0030        -473.004        -401.321     3.03373E+03    -2.34128E+03     2.36777E+03
              79         69.9654        -457.062        -416.050     2.94032E+03    -2.30480E+03     2.41792E+03
              80         92.8389        -439.556        -430.225     2.84847E+03    -2.26675E+03     2.46573E+03
              81         114.586        -420.595        -443.781     2.75844E+03    -2.22718E+03     2.51126E+03
              82         135.178        -400.288        -456.659     2.67047E+03    -2.18615E+03     2.55454E+03
              83         154.597        -378.739        -468.805     2.58479E+03    -2.14373E+03     2.59566E+03
              84         172.834        -356.053        -480.165     2.50164E+03    -2.09998E+03     2.63467E+03
              85         189.886        -332.332        -490.692     2.42120E+03    -2.05500E+03     2.67163E+03
              86         205.758        -307.673        -500.339     2.34368E+03    -2.00886E+03     2.70664E+03
              87         220.462        -282.174        -509.067     2.26923E+03    -1.96167E+03     2.73975E+03
              88         234.012        -255.927        -516.836     2.19804E+03    -1.91350E+03     2.77106E+03
              89         246.427        -229.022        -523.610     2.13023E+03    -1.86448E+03     2.80065E+03
              90         257.731        -201.546        -529.357     2.06594E+03    -1.81471E+03     2.82859E+03
              91         267.947        -173.585        -534.048     2.00530E+03    -1.76429E+03     2.85498E+03
              92         277.102        -145.220        -537.654     1.94839E+03    -1.71334E+03     2.87990E+03
              93         285.225        -116.532        -540.153     1.89532E+03    -1.66198E+03     2.90342E+03
              94         292.347        -87.5981        -541.520     1.84616E+03    -1.61032E+03     2.92563E+03
              95         298.499        -58.4946        -541.738     1.80096E+03    -1.55850E+03     2.94662E+03
              96         303.714        -29.2960        -540.790     1.75979E+03    -1.50664E+03     2.96645E+03
              97         306.091        -14.6821        -540.022     1.74022E+03    -1.45264E+03     2.97609E+03


